"Title","Authors","Year","Type","DOI","Abstract","Keywords"
"Host dietary specialization and neutral assembly shape gut bacterial communities of wild dragonflies","Deb R, Nair A, Agashe D",2019,"Article","10.7717/peerj.8058","Host-associated gut microbiota can have significant impacts on host ecology and evolution and are often host-specific. Multiple factors can contribute to such host-specificity: (1) host dietary specialization passively determining microbial colonization, (2) hosts selecting for specific diet-acquired microbiota, or (3) a combination of both. The latter possibilities indicate a functional association and should produce stable microbiota. We tested these alternatives by analyzing the gut bacterial communities of six species of wild adult dragonfly populations collected across several geographic locations. The bacterial community composition was predominantly explained by sampling location, and only secondarily by host identity. To distinguish the role of host dietary specialization and host-imposed selection, we identified prey in the guts of three dragonfly species. Surprisingly, the dragonfliesconsidered to be generalist predatorsconsumed distinct prey; and the prey diversity was strongly correlated with the gut bacterial profile. Such host dietary specialization and spatial variation in bacterial communities suggested passive rather than selective underlying processes. Indeed, the abundance and distribution of 72% of bacterial taxa were consistent with neutral community assembly; and fluorescent in situ hybridization revealed that bacteria only rarely colonized the gut lining. Our results contradict the expectation that host-imposed selection shapes the gut microbiota of most insects, and highlight the importance of joint analyses of diet and gut microbiota of natural host populations. © 2019 Deb et al.","community assembly; geographic variation; gut microbiome; host-microbial interactions; predator; specialist; adult; article; diet; dragonfly; expectation; fluorescence in situ hybridization; geography; host microbe interaction; intestine flora; microbial community; natural host; nonhuman; predator; specialization"
"NOD2 in hepatocytes engages a liver-gut axis to protect against steatosis, fibrosis, and gut dysbiosis during fatty liver disease in mice","Cavallari JF, Pokrajac NT, Zlitni S, Foley KP, Henriksbo BD, Schertzer JD",2020,"Article","10.1152/AJPENDO.00181.2020","Obesity promotes nonalcoholic fatty liver disease (NAFLD). The intestinal microbiota contributes to NAFLD progression through a gut-to-liver pathway that promotes inflammation and fibrosis. Gut microbiota-derived factors can travel to the liver and activate immune responses in liver resident cells to promote inflammation and NAFLD. Little is known about bacterial sensors or immune responses that can protect against NAFLD. We tested whether the bacterial cell wall sensor nucleotide-binding oligomerization domain-containing (NOD)2 protects against diet-induced NAFLD in mice. Whole body deletion of NOD2 exacerbated liver steatosis and fibrosis in mice fed a NAFLD-promoting diet. Mice with a hepatocyte-specific deletion of NOD2 (Nod2-/-HKO) also had higher liver steatosis and fibrosis compared with littermate wild-type mice (WT) fed a NAFLD-promoting diet. Hepatocyte-specific NOD2 deletion altered the composition of the gut microbiome. Nod2-/-HKO mice had increased relative abundance of Clostridiales and lower Erysipelotrichaceae among other changes in cecal bacteria compared with littermate WT mice. Hepatocyte-specific NOD2 deletion altered a transcriptional program of liver inflammation, metabolism, and fibrosis. Nod2-/-HKO mice had higher levels of transcripts involved in lipid and cholesterol metabolism. Nod2-/-HKO mice had higher transcript levels of transforming growth factor-β and collagen isoforms, which coincided with higher levels of liver collagen compared with WT mice. These data show that bacterial cell wall sensing within hepatocytes can engage retrograde cross-talk from the liver to the gut, where liver immunity communicates with the gut to influence the intestinal host-microbe relationship during diet-induced NAFLD, and NOD2 within the hepatocyte confers protection from liver steatosis and fibrosis. Copyright © 2020 the American Physiological Society","gut; inflammation; liver; microbiome; microbiota; obesity; caspase recruitment domain protein 15; transforming growth factor beta; caspase recruitment domain protein 15; nod2 protein, mouse; alanine aminotransferase blood level; animal cell; animal experiment; animal model; animal tissue; article; bacterial cell wall; cell communication; cholesterol metabolism; clostridiales; controlled study; dysbiosis; erysipelotrichaceae; fatty liver; glucose tolerance test; histopathology; host microbe interaction; lipid metabolism; liver cell; liver fibrosis; microbial diversity; molecular interaction; mouse; nonhuman; obesity; population abundance; priority journal; staining; animal; c57bl mouse; chemistry; diet; dysbiosis; intestine flora; knockout mouse; liver; liver cell; liver cirrhosis; male; nonalcoholic fatty liver; pathophysiology; physiology; receptor cross-talk; animals; diet; dysbiosis; gastrointestinal microbiome; hepatocytes; liver; liver cirrhosis; male; mice; mice, inbred c57bl; mice, knockout; nod2 signaling adaptor protein; non-alcoholic fatty liver disease; receptor cross-talk"
"Bacterial-derived neutrophilic inflammation drives lung remodeling in a mouse model of chronic obstructive pulmonary disease","Richmond BW, Du R-H, Han W, Benjamin JT, Van Der Meer R, Gleaves L, Guo M, McKissack A, Zhang Y, Cheng D-S, Polosukhin VV, Blackwell TS",2018,"Article","10.1165/rcmb.2017-0329OC","Loss of secretory IgA is common in the small airways of patients with chronic obstructive pulmonary disease and may contribute to disease pathogenesis. Using mice that lack secretory IgA in the airways due to genetic deficiency of polymeric Ig receptor (pIgR -/- mice), we investigated the role of neutrophils in driving the fibrotic small airway wall remodeling and emphysema that develops spontaneously in these mice. By flow cytometry, we found an increase in the percentage of neutrophils among CD45 + cells in the lungs, as well as an increase in total neutrophils, in pIgR -/- mice compared with wild-Type controls. This increase in neutrophils in pIgR -/- mice was associated with elastin degradation in the alveolar compartment and around small airways, along with increased collagen deposition in small airway walls. Neutrophil depletion using anti-Ly6G antibodies or treatment with broad-spectrum antibiotics inhibited development of both emphysema and small airway remodeling, suggesting that airway bacteria provide the stimulus for deleterious neutrophilic inflammation in this model. Exogenous bacterial challenge using lysates prepared from pathogenic and nonpathogenic bacteria worsened neutrophilic inflammation and lung remodeling in pIgR -/- mice. This phenotype was abrogated by antiinflammatory therapy with roflumilast. Together, these studies support the concept that disruption of the mucosal immune barrier in small airways contributes to chronic obstructive pulmonary disease progression by allowing bacteria to stimulate chronic neutrophilic inflammation, which, in turn, drives progressive airway wall fibrosis and emphysematous changes in the lung parenchyma. Copyright © 2018 by the American Thoracic Society.","chronic obstructive pulmonary disease; emphysema; mucosal immunity; polymeric ig receptor; secretory iga; ampicillin; antibody; bacterium lysate; collagen; elastin; lymphocyte antigen; metronidazole; neomycin; receptor type tyrosine protein phosphatase c; roflumilast; secretory immunoglobulin; vancomycin; aminopyridine derivative; benzamide derivative; cell surface receptor; cyclopropane derivative; oscar protein, mouse; roflumilast; airway remodeling; animal cell; animal experiment; animal model; animal tissue; article; bacterium; chronic obstructive lung disease; controlled study; correlation analysis; cytometry; emphysema; inflammation; lung fibrosis; lung parenchyma; mouse; mucosal immunity; neutrophil; neutrophil count; nonhuman; pathogenesis; phenotype; protein degradation; airway remodeling; animal; bacillus; bacterial pneumonia; c57bl mouse; chronic obstructive lung disease; disease model; drug effect; genetics; lung emphysema; microbiology; mutant mouse strain; neutrophil; pathogenicity; pathology; physiology; airway remodeling; aminopyridines; animals; bacillus; benzamides; cyclopropanes; disease models, animal; mice, inbred c57bl; mice, mutant strains; neutrophils; pneumonia, bacterial; pulmonary disease, chronic obstructive; pulmonary emphysema; receptors, cell surface"
"Characterization of intestinal bacteria in wild and domesticated adult black tiger shrimp (Penaeus monodon)","Rungrassamee W, Klanchui A, Maibunkaew S, Chaiyapechara S, Jiravanichpaisal P, Karoonuthaisiri N",2014,"Article","10.1371/journal.pone.0091853","The black tiger shrimp (Penaeus monodon) is a marine crustacean of economic importance in the world market. To ensure sustainability of the shrimp industry, production capacity and disease outbreak prevention must be improved. Understanding healthy microbial balance inside the shrimp intestine can provide an initial step toward better farming practice and probiotic applications. In this study, we employed a barcode pyrosequencing analysis of V3-4 regions of 16S rRNA genes to examine intestinal bacteria communities in wild-caught and domesticated P. monodon broodstock. Shrimp faeces were removed from intestines prior to further analysis in attempt to identify mucosal bacterial population. Five phyla, Actinobacteria, Fusobacteria, Proteobacteria, Firmicutes and Bacteroidetes, were found in all shrimp from both wild and domesticated environments. The operational taxonomic unit (OTU) was assigned at 97% sequence identity, and our pyrosequencing results identified 18 OTUs commonly found in both groups. Sequences of the shared OTUs were similar to bacteria in three phyla, namely i) Proteobacteria (Vibrio, Photobacterium, Novosphingobium, Pseudomonas, Sphingomonas and Undibacterium), ii) Firmicutes (Fusibacter), and iii) Bacteroidetes (Cloacibacterium). The shared bacterial members in P. monodon from two different habitats provide evidence that the internal environments within the host shrimp also exerts selective pressure on bacterial members. Intestinal bacterial profiles were compared using denaturing gradient gel electrophoresis (DGGE). The sequences from DGGE bands were similar to those of Vibrio and Photobacterium in all shrimp, consistent with pyrosequencing results. This work provides the first comprehensive report on bacterial populations in the intestine of adult black tiger shrimp and reveals some similar bacterial members between the intestine of wild-caught and domesticated shrimp. © 2014 Rungrassamee et al.","; rna 16s; actinobacteria; adult; animal tissue; article; bacteroidetes; cloacibacterium; controlled study; domestic animal; firmicutes; fusibacter; fusobacteria; gene sequence; intestine flora; microbial community; microbial diversity; nonhuman; novosphingobium; nucleotide sequence; penaeus monodon; photobacterium; proteobacteria; pseudomonas; pyrosequencing; sphingomonas; undibacterium; unindexed sequence; vibrio; wild species; animal; bacterium; biodiversity; classification; dna sequence; genetics; intestine; microbiology; microflora; molecular genetics; penaeidae; phylogeny; animals; bacteria; biodiversity; intestines; microbiota; molecular sequence data; penaeidae; phylogeny; rna, ribosomal, 16s; sequence analysis, dna"
"Seed-derived microbial colonization of wild emmer and domesticated bread wheat (Triticum dicoccoides and t. aestivum) seedlings shows pronounced differences in overall diversity and composition","Özkurt E, Hassani MA, Sesiz U, Künzel S, Dagan T, Özkan H, Stukenbrock EH",2020,"Article","10.1128/mBio.02637-20","The composition of the plant microbiota may be altered by ecological and evolutionary changes in the host population. Seed-associated microbiota, expected to be largely vertically transferred, have the potential to coadapt with their host over gen-erations. Strong directional selection and changes in the genetic composition of plants during domestication and cultivation may have impacted the assembly and transmission of seed-associated microbiota. Nonetheless, the effect of plant speciation and domestication on the composition of these microbes is poorly understood. Here, we have investi-gated the composition of bacteria and fungi associated with the wild emmer wheat (Triticum dicoccoides) and domesticated bread wheat (Triticum aestivum). We show that vertically transmitted bacteria, but not fungi, of domesticated bread wheat species T. aestivum are less diverse and more inconsistent among individual plants compared to those of the wild emmer wheat species T. dicoccoides. We propagated wheat seeds under sterile conditions to characterize the colonization of seedlings by seed-associated mi-crobes. Hereby, we show markedly different community compositions and diversities of leaf and root colonizers of the domesticated bread wheat compared to the wild emmer wheat. By propagating the wild emmer wheat and domesticated bread wheat in two different soils, we furthermore reveal a small effect of plant genotype on microbiota as-sembly. Our results suggest that domestication and prolonged breeding have impacted the vertically transferred bacteria, but only to a lesser extent have affected the soil-derived microbiota of bread wheat. IMPORTANCE Genetic and physiological changes associated with plant domestication have been studied for many crop species. Still little is known about the impact of domestication on the plant-associated microbiota. In this study, we analyze the seed-associated and soil-derived bacterial and fungal microbiota of domesticated bread wheat and wild emmer wheat. We show a significant difference in the seed-associated, but not soil-derived, bacterial communities of the wheat species. Interest-ingly, we find less pronounced effects on the fungal communities. Overall, this study provides novel insight into the diversity of vertically transmitted microbiota of wheat and thereby contributes to our understanding of wheat as a “metaorganism.” Insight into the wheat microbiota is of fundamental importance for the development of im-proved crops. © 2020 Özkurt et al.","agriculture; microbiota assembly; plant breeding; plant domestication; plant microbiota; seed microbiota; seed-associated microbiome; wheat domestication; wheat microbiota; article; crop; domestication; emmer; fungal community; genotype; microbial colonization; microbial community; microbiome; nonhuman; plant breeding; plant seed; seedling; soil; triticum aestivum; wheat; bacterium; classification; domestication; evolution; fungus; genetic variation; genetics; microbiology; microflora; plant breeding; plant seed; seedling; bacteria; biological evolution; domestication; fungi; genetic variation; genotype; microbiota; plant breeding; seedlings; seeds; triticum"
"Cardif (MAVS) regulates the maturation of NK cells","Haynes LD, Verma S, McDonald B, Wu R, Tacke R, Nowyhed HN, Ekstein J, Feuvrier A, Benedict CA, Hedrick CC",2015,"Article","10.4049/jimmunol.1402060","Cardif, also known as IPS-1, VISA, and MAVS, is an intracellular adaptor protein that functions downstream of the retinoic acid- inducible gene I family of pattern recognition receptors. Cardif is required for the production of type I IFNs and other inflammatory cytokines after retinoic acid-inducible gene I-like receptors recognize intracellular antigenic RNA. Studies have recently shown that Cardif may have other roles in the immune system in addition to its role in viral immunity. In this study, we find that the absence of Cardif alters normal NK cell development and maturation. Cardif-/- mice have a 35% loss of mature CD272 CD11b+ NK cells in the periphery. In addition, Cardif-/- NK cells have altered surface marker expression, lower cytotoxicity, decreased intracellular STAT1 levels, increased apoptosis, and decreased proliferation compared with wild-type NK cells. Mixed chimeric mice revealed that the defective maturation and increased apoptotic rate of peripheral Cardif-/- NK cells is cell intrinsic. However, Cardif-/- mice showed enhanced control of mouse CMV (a DNA β-herpesvirus) by NK cells, commensurate with increased activation and IFN-γ production by these immature NK cell subsets. These results indicate that the skewed differentiation and altered STAT expression of Cardif-/- NK cells can result in their hyperresponsiveness in some settings and support recent findings that Cardif-dependent signaling can regulate aspects of immune cell development and/or function distinct from its well-characterized role in mediating cell-intrinsic defense to RNA viruses. Copyright © 2015 by The American Association of Immunologists, Inc.","; adaptor protein; cd11b antigen; gamma interferon; protein cardif; stat1 protein; unclassified drug; gamma interferon; ips-1 protein, mouse; signal transducing adaptor protein; stat1 protein; stat1 protein, mouse; animal cell; animal experiment; animal model; apoptosis; article; cell maturation; cell proliferation; controlled study; cytokine production; cytomegalovirus infection; female; lymphocyte differentiation; lymphocyte function; mouse; natural killer cell; nonhuman; priority journal; protein expression; protein function; signal transduction; t lymphocyte subpopulation; wild type; 3t3 cell line; animal; bagg albino mouse; biosynthesis; c57bl mouse; cell culture; cell differentiation; cell proliferation; cytotoxicity; flow cytometry; genetics; herpes virus infection; immunology; knockout mouse; liver; lymphocyte count; male; metabolism; muromegalovirus; natural killer cell; physiology; spleen; virology; western blotting; adaptor proteins, signal transducing; animals; apoptosis; blotting, western; cell differentiation; cell proliferation; cells, cultured; cytotoxicity, immunologic; female; flow cytometry; herpesviridae infections; interferon-gamma; killer cells, natural; liver; lymphocyte count; male; mice; mice, inbred balb c; mice, inbred c57bl; mice, knockout; muromegalovirus; nih 3t3 cells; spleen; stat1 transcription factor"
"Fur seal microbiota are shaped by the social and physical environment, show mother–offspring similarities and are associated with host genetic quality","Grosser S, Sauer J, Paijmans AJ, Caspers BA, Forcada J, Wolf JBW, Hoffman JI",2019,"Article","10.1111/mec.15070","Despite an increasing appreciation of the importance of host–microbe interactions in ecological and evolutionary processes, the factors shaping microbial communities in wild populations remain poorly understood. We therefore exploited a natural experiment provided by two adjacent Antarctic fur seal (Arctocephalus gazella) colonies of high and low social density and combined 16S rRNA metabarcoding with microsatellite profiling of mother–offspring pairs to investigate environmental and genetic influences on skin microbial communities. Seal-associated bacterial communities differed profoundly between the two colonies, despite the host populations themselves being genetically undifferentiated. Consistent with the hypothesis that social stress depresses bacterial diversity, we found that microbial alpha diversity was significantly lower in the high-density colony. Seals from one of the colonies that contained a stream also carried a subset of freshwater-associated bacteria, indicative of an influence of the physical environment. Furthermore, mothers and their offspring shared similar microbial communities, in support of the notion that microbes may facilitate mother–offspring recognition. Finally, a significant negative association was found between bacterial diversity and heterozygosity, a measure of host genetic quality. Our study thus reveals a complex interplay between environmental and host genetic effects, while also providing empirical support for the leash model of host control, which posits that bacterial communities are driven not only by bottom-up species interactions, but also by top-down host regulation. Taken together, our findings have broad implications for understanding host–microbe interactions as well as prokaryotic diversity in general. © 2019 John Wiley & Sons Ltd","arctocephalus gazella; host control; inbreeding; mother–offspring recognition; pinniped; skin microbiome; "
"Exposure to environmental radionuclides is associated with altered metabolic and immunity pathways in a wild rodent","Kesäniemi J, Jernfors T, Lavrinienko A, Kivisaari K, Kiljunen M, Mappes T, Watts PC",2019,"Article","10.1111/mec.15241","Wildlife inhabiting environments contaminated by radionuclides face putative detrimental effects of exposure to ionizing radiation, with biomarkers such as an increase in DNA damage and/or oxidative stress commonly associated with radiation exposure. To examine the effects of exposure to radiation on gene expression in wildlife, we conducted a de novo RNA sequencing study of liver and spleen tissues from a rodent, the bank vole Myodes glareolus. Bank voles were collected from the Chernobyl Exclusion Zone (CEZ), where animals were exposed to elevated levels of radionuclides, and from uncontaminated areas near Kyiv, Ukraine. Counter to expectations, we did not observe a strong DNA damage response in animals exposed to radionuclides, although some signs of oxidative stress were identified. Rather, exposure to environmental radionuclides was associated with upregulation of genes involved in lipid metabolism and fatty acid oxidation in the livers – an apparent shift in energy metabolism. Moreover, using stable isotope analysis, we identified that fur from bank voles inhabiting the CEZ had enriched isotope values of nitrogen: such an increase is consistent with increased fatty acid metabolism, but also could arise from a difference in diet or habitat between the CEZ and elsewhere. In livers and spleens, voles inhabiting the CEZ were characterized by immunosuppression, such as impaired antigen processing, and activation of leucocytes involved in inflammatory responses. In conclusion, exposure to low dose environmental radiation impacts pathways associated with immunity and lipid metabolism, potentially as a stress-induced coping mechanism. © 2019 The Authors. Molecular Ecology published by John Wiley & Sons Ltd","dna repair; myodes glareolus; pollution; radionuclides; rnaseq; stable isotope; fatty acid; mutagenic agent; radioisotope; adverse event; animal; arvicolinae; chernobyl accident; dna damage; dna repair; genetics; immune system; immunology; ionizing radiation; lipid metabolism; liver; metabolism; oxidation reduction reaction; oxidative stress; pathology; physiology; radiation exposure; radiation response; spleen; ukraine; animals; arvicolinae; chernobyl nuclear accident; dna damage; dna repair; fatty acids; immune system; lipid metabolism; liver; mutagens; oxidation-reduction; oxidative stress; radiation exposure; radiation, ionizing; radioisotopes; spleen; ukraine"
"Microbiota regulates type 1 diabetes through Toll-like receptors","Burrows MP, Volchkov P, Kobayashi KS, Chervonsky AV, Medzhitov R",2015,"Article","10.1073/pnas.1508740112","Deletion of the innate immune adaptor myeloid differentiation primary response gene 88 (MyD88) in the nonobese diabetic (NOD) mouse model of type 1 diabetes (T1D) results in microbiota-dependent protection from the disease: MyD88-negative mice in germfree (GF), but not in specific pathogen-free conditions develop the disease. These results could be explained by expansion of particular protective bacteria (""specific lineage hypothesis"") or by dominance of negative (tolerizing) signaling over proinflammatory signaling (""balanced signal hypothesis"") in mutant mice. Here we found that colonization of GF mice with a variety of intestinal bacteria was capable of reducing T1D in MyD88-negative (but not wild-type NOD mice), favoring the balanced signal hypothesis. However, the receptors and signaling pathways involved in prevention or facilitation of the disease remained unknown. The protective signals triggered by the microbiota were revealed by testing NOD mice lacking MyD88 in combination with knockouts of several critical components of innate immune sensing for development of T1D. Only MyD88- and TIR-domain containing adapter inducing IFN β (TRIF) double deficient NOD mice developed the disease. Thus, TRIF signaling (likely downstream of Toll-like receptor 4, TLR4) serves as one of the microbiota-induced tolerizing pathways. At the same time another TLR (TLR2) provided prodiabetic signaling by controlling the microbiota, as reduction in T1D incidence caused by TLR2 deletion was reversed in GF TLR2-negative mice. Our results support the balanced signal hypothesis, in which microbes provide signals that both promote and inhibit autoimmunity by signaling through different receptors, including receptors of the TLR family.","commensal microbiota; toll-like receptors; type 1 diabetes; myeloid differentiation factor 88; toll like receptor; toll like receptor 2; toll like receptor 4; toll like receptor adaptor molecule 1; antiinfective agent; myeloid differentiation factor 88; ticam-1 protein, mouse; toll like receptor; vesicular transport adaptor protein; animal experiment; animal model; article; autoimmunity; commensal; controlled study; female; innate immunity; insulin dependent diabetes mellitus; intestine flora; male; microbial community; microflora; mouse; nonhuman; priority journal; signal transduction; ubiquitination; animal; bacterium; c57bl mouse; germfree animal; immunology; insulin dependent diabetes mellitus; metabolism; microbiology; nonobese diabetic mouse; pancreas islet; pathology; phylogeny; mus; adaptor proteins, vesicular transport; animals; anti-infective agents; bacteria; diabetes mellitus, type 1; germ-free life; islets of langerhans; mice, inbred c57bl; mice, inbred nod; microbiota; myeloid differentiation factor 88; phylogeny; toll-like receptors"
"Nod2 activates NF-kB in CD4+ T cells but its expression is dispensable for T cell-induced colitis","Zanello G, Goethel A, Forster K, Geddes K, Philpott DJ, Croitoru K",2013,"Article","10.1371/journal.pone.0082623","Although the etiology of Crohn's disease (CD) remains elusive this disease is characterized by T cell activation that leads to chronic inflammation and mucosal damage. A potential role for maladaptation between the intestinal microbiota and the mucosal immune response is suggested by the fact that mutations in the pattern recognition receptor Nod2 are associated with higher risks for developing CD. Although Nod2 deletion in CD4+ T cells has been shown to impair the induction of colitis in the murine T cell transfer model, the analysis of T cell intrinsic Nod2 function in T cell differentiation and T cell-mediated immunity is inconsistent between several studies. In addition, the role of T cell intrinsic Nod2 in regulatory T cell (Treg) development and function during colitis remain to be analyzed. In this study, we show that Nod2 expression is higher in activated/memory CD4+ T cells and its expression was inducible after T cell receptor (TCR) ligation. Nod2 stimulation with muramyl dipeptide (MDP) led to a nuclear accumulation of c-Rel NF-kB subunit. Although functionally active in CD4+ T cells, the deletion of Nod2 did not impair the induction and the prevention of colitis in the T cell transfer model. Moreover, Nod2 deletion did not affect the development of Foxp3+ Treg cells in the spleen of recipient mice and Nod2 deficient CD4 T cells expressing the OVA specific transgenic TCR were able to differentiate in Foxp3+ Treg cells after OVA feeding. In vitro, CD25+ Nod2 deficient T cells suppressed T cell proliferation as well as wild type counter parts and T cell stimulation with MDP did not affect the proliferation and the cytokine secretion of T cells. In conclusion, our data indicate that Nod2 is functional in murine CD4+ T cells but its expression is dispensable for the T cell regulation of colitis. Copyright: © 2013 Zanello et al.","; caspase recruitment domain protein 15; immunoglobulin enhancer binding protein; interleukin 2 receptor alpha; t lymphocyte receptor; transcription factor foxp3; transcription factor rel; animal cell; animal tissue; article; cd4+ t lymphocyte; cell metabolism; controlled study; cytokine release; disease activity; enzyme activation; enzyme activity; enzyme assay; in vitro study; lymphocyte activation; lymphocyte differentiation; lymphocyte function; lymphocytic colitis; memory t lymphocyte; molecular dynamics; molecular pathology; mouse; nonhuman; protein determination; protein expression; protein function; regulatory t lymphocyte; wild type; acetylmuramyl-alanyl-isoglutamine; adoptive transfer; animals; cd4-positive t-lymphocytes; colitis; cytokines; disease models, animal; gene deletion; gene expression regulation; immunosuppression; mice; mice, knockout; nf-kappa b; nod2 signaling adaptor protein; receptors, antigen, t-cell; t-lymphocyte subsets"
