"","Keyword","Context"
"1","wild","Total SCFA concentrations were similar between wild and captive-born Gorilla gorilla, although concentrations of acetate were significantly greater —and butyrate concentration and methane production significantly lower— in wild-caught gorillas relative to captive-born. "
"2","wild","Fellner wild, nonhuman primate feeding biology and digestive strategy remain poorly described. "
"3","wild","In addition, we collected representative fecal samples from wild-born Gorilla gorilla and compared them with samples from the captive-born Gorilla gorilla. "
"4","wild","Table I Catarrhine focal subjects from which fecal samples were collected at the North Carolina Zoo, July 2007: Number of adults, adult sex ratio, and number of adults born in captivity and in the wild Species Adult N Male/female Captive born/wild born Gorilla gorilla gorilla 5 2:3 3:2 Pan troglodytes schweinfurthii 14 5:9 10:4 Papio hamadryas 20 8:12 20:0 Cercopithecus neglectus 2 1:1 2:0 Colobus guereza 2 1:1 2:0 266 J.E. "
"5","wild","We analyzed data from captive and wild-born gorillas as a separate data set using the samemodel described in the preceding text; treatments were wild vs. captive. "
"6","wild","Cultures of fecal samples from wild-born Gorilla gorilla exhibited a slower rate of fermentation when compared to cultures from the fecal samples of captive-born 270 J.E. "
"7","wild","However, at the end of 48 h, total SCFA concentration was similar between captiveand wild-born Gorilla gorilla. "
"8","wild","Total SCFA levels were similar in fecal samples from wild-caught and captiveborn Gorilla gorilla (Tables IX and X), although concentrations of acetate were significantly greater (p=0.002, F=48.72) in fecal samples from wild-caught gorillas. "
"9","wild","Butyrate concentration (p=0.001, F=73.47) and methane production (p=0.0002, F=175.94) were significantly less in fecal samples from wild-caught individuals relative to captive-born. "
"10","wild","An evaluation of the data presented here in light of information stemming from the literature on wild and captive catarrhines (with domesticated cattle and one platyrrhine species for comparison) suggests that fecal samples from colobine and cercopithecine species produce relatively high total SCFA concentrations in vitro, even when compared to in vitro samples from the much larger-bodied pongid species (Table XI). "
