"","Keyword","Context"
"1","wild","Ageand sex-matched C57BL/6 IL-10 / and wild type mice were transferred from a germ-free environment to a specific pathogen free condition. "
"2","wild","Animal and experimental design Ageand sex-matched C57BL/6 IL-10 / and wild type mice were obtained from the Jackson Laboratory (Bar Harbor, Maine) and maintained in a GF animal facility at the Model Animal Research Center of Nanjing University (Nanjing, China). "
"3","model","1, 2] Recent evidence from bench research including genetics, immunology, microbiology, experimental animal models and clinical studies, demonstrate the abnormal host-microbial interactions in the pathogenesis of IBD.["
"4","model","6] Studies of experimental models have shown that the intestinal microbiota play an important role in the development of chronic intestinal inflammation.["
"5","model","Therefore, our study confirm the important role played by the commensal flora in triggering and exacerbating chronic intestinal inflammation in this IBD animal model. "
"6","model","12 To further explore the role of miR-155/SHIP pathway in IL-10 / mice with commensal bacteria induced colitis, we observed the effects of miR-155 inhibition on this animal model. "
"7","model","Both histological score and the cytokines secretion were decreased in mice receiving anti-miR-155 treatment, suggestingthe acceptable therapeutic effects of anti-miR155 in this IBD model. "
"8","model","The immunology of mucosal models of inflammation. "
"9","disease","IL-10/miR-155/SHIP-1 pathways plays a critical role in commensal bacteria induced colitis and miR-155 may be a potential therapeutic target for human inflammatory bowel disease. "
"10","disease","3 KEYWORDS Crohn's disease; IL-10; MicroRNA-155; SHIP-1; Commensal bacteria ABBREVIATIONS CD, Crohn's disease; GF, germ-free; IBD, inflammatory bowel disease; IL-10, interleukin-10; IL10 / , IL-10 deficient; miR-155, microRNA-155; SD, standard deviation; SPF, specific pathogenfree; SHIP-1, Src homology 2 domain–containing inositol 5-phosphatase 1; Tregs, regulatory T cells; UC, ulcerative colitis. "
"11","disease","INTRODUCTION Inflammatory bowel disease (IBD), encompassing the chronic relapsing inflammatory disorders such as Crohn's disease (CD) and ulcerative colitis (UC), is thought to result from an aberrant immune response to intestinal microbiota in genetically susceptible individuals.["
"12","disease","4] In addition to pathogenic microbes, otherwise harmless commensal microbes can also trigger the inflammatory diseases of the intestine such as IBD in some distinct circumstance,[5] which might be explained by the concept that intestinal inflammation of intestine may arise from lack of tolerance to antigens present in autologous microflora in genetically susceptible host.["
"13","disease","35] Colonic samples were collected from CD patients with active colitis (Crohn's disease activity index > 150) who were not exposure to steroids, immunosuppressive drugs or biological agents during the recent 30 days. "
"14","disease","We also evaluated the relationship between IL-10, miR155, SHIP-1 and disease activity which was indicated as CDAI. "
"15","disease","43, 44] This is confirmed by a study indicating that recurrent disease is found after reinfusion of luminal contents in patients with fecal diversion.["
"16","disease","Inflammatory bowel disease. "
"17","disease","Unravelling the pathogenesis of inflammatory bowel disease. "
"18","disease","Responses to self and non-self intestinal microflora in health and inflammatory bowel disease. "
"19","disease","Early lesions of recurrent Crohn's disease caused by infusion of intestinal contents in excluded ileum. "
"20","disease","Effect of faecal stream diversion on recurrence of Crohn's disease in the neoterminal ileum. "
"21","disease","Antibiotic therapy in inflammatory bowel disease: a systematic review and metaanalysis. "
"22","disease","Therapeutic manipulation of the enteric microflora in inflammatory bowel diseases: antibiotics, probiotics, and prebiotics. "
"23","disease","Circulating MicroRNA in inflammatory bowel disease. "
"24","disease","Role of miR-155 in the regulation of lymphocyte immune function and disease. "
"25","disease","SHIP deficiency causes Crohn's disease-like ileitis. "
"26","disease","Defective IL-10 production in severe phenotypes of Crohn's disease. "
"27","disease","Immunoregulatory role of interleukin 10 in patients with inflammatory bowel disease. "
"28","disease","Intestinal expression of SHIP in inflammatory bowel diseases. "
"29","disease","The second European evidence-based Consensus on the diagnosis and management of Crohn's disease: Definitions and diagnosis. "
"30","disease","The immunological and genetic basis of inflammatory bowel disease. "
"31","disease","Mechanisms of disease: pathogenesis of Crohn's disease and ulcerative colitis. "
"32","disease","The fundamental basis of inflammatory bowel disease. "
"33","disease","Ornidazole for prophylaxis of postoperative Crohn's disease recurrence: a randomized, double-blind, placebo-controlled trial. "
"34","environment","Ageand sex-matched C57BL/6 IL-10 / and wild type mice were transferred from a germ-free environment to a specific pathogen free condition. "
"35","environment","IL-10/miR-155/SHIP-1 signaling pathway was activated in IL-10 / mice transferring from a germ-free environment to a specific pathogen free condition. "
"36","environment","31] The goals of the current study was to characterize the changes induced by commensal bacteria in the IL-10/miR-155/SHIP-1 signaling pathway, as well as the potential therapeutic effects of anti-miR-155 on colitis in IL-10 / mice shifted from GF to specific pathogen-free (SPF) environment. "
"37","environment","Additionally, significant difference in the SHIP-1 level was found between IL-10 / mice in SPF conditions and those in GF environments (Figure 1B). "
"38","environment","26, 28, 30] The present study showed a development of colitis and activated miR-155 signaling pathway in animals shifted from GF to a SPF environment. "
"39","environment","10] Indeed, the present study demonstrates that chronic colitis cannot develop in IL-10 / mice under GF conditions but in SPF environment. "
"40","human","The relationship of IL-10, miR-155, and SHIP-1 was confirmed in human study using samples from patients with active Crohn's colitis. "
"41","human","IL-10/miR-155/SHIP-1 pathways plays a critical role in commensal bacteria induced colitis and miR-155 may be a potential therapeutic target for human inflammatory bowel disease. "
"42","human","7-9] In humans, diversion of the fecal stream could lead to improvement of downstream inflammation, while postoperative exposure of the intestine to luminal contents results in inflammation, implying the involvement of intestinal microbiota in the development of IBD.["
"43","human","Our study provided evidence that IL-10/miR-155/SHIP-1 pathways plays a critical role in commensal bacteria induced colitis and miR-155 may be an intriguing therapeutic target for human IBD. "
"44","human","Ethics Statements For studies using clinical human materials, informed consent was obtained from all participants and the approval from the Research Ethics Committee of Jinling Hospital (Nanjing, 6 China) was obtained. "
"45","human","All mice received humane care in accordance with the law concerning the protection and control of animals in China. "
"46","human","8, 39-42] The ability of antibiotics to decrease postoperative recurrence of CD suggests that intestinal microbial flora is important for the initiation and perpetuation of human IBD.["
"47","human","Enterotypes of the human gut microbiome. "
"48","human","A human colonic commensal promotes colon tumorigenesis via activation of T helper type 17 T cell responses. "
