"","Keyword","Context"
"1","wild","Both colitic and noncolitic T5KO exhibited transiently unstable microbiotas, with lasting differences in colitic T5KO, while their noncolitic siblings stabilized their microbiotas to resemble wild-type mice. "
"2","wild","Increased Volatility in Microbiota of T5KO Mice Stool from wild-type, noncolitic, and colitic T5KO mice (n = 5–8 mice per group) was collected weekly for 9 weeks after weaning (from 3 weeks old to 11 weeks old). "
"3","wild","Colitic T5KO Mice Harbored Abnormal Amount of Enterobacteria (A) Stool from wild-type, noncolitic, and colitic T5KOmice (n = 6–8mice per group) were collected weekly for 9 weeks after weaning (from 3 weeks old to 11 weeks old). "
"4","wild","Germ-free T5KO Mice Are Highly Susceptible to Early AIEC LF82 Infection Germ-free wild-type and T5KO mice (n = 4 mice per group) were orally infected with 107 flagellate AIEC LF82 bacteria. "
"5","wild","Transient AIEC LF82 Infection Resulted in a Chronic Basal In Germ-free wild-type and T5KOmice (n = 3–7 mice per group) were orally infected T5KO mice were transferred to a sterile cage without treatment. "
"6","mutant","Such delayed bacterial clearance by T5KO, relative to WT, mice was not seen upon exposure to a flagellin-deficient AIEC LF82 mutant, indicating that the increased susceptibility of T5KO to AIEC LF82 colonization reflects a direct role for TLR5 in recognition of AIEC LF82 flagella. "
"7","mutant","In either case, clearance of flagellate AIEC strain LF82, but not an aflagellate isogenic mutant strain, was delayed in T5KO mice, indicating a role for TLR5 in protecting against this, and perhaps other motile, bacteria. "
"8","mutant","Bacterial Infections CD-associated AIEC strain LF82 (Darfeuille-Michaud, 2002), isogenic nonflagellate mutant LF82-DfliC (Barnich et al., 2003), S. typhimurium SL3201, and E. coli F18 were grown overnight at 37C without agitation in Luria-Bertani (LB) medium. "
"9","model","That analogous observations have been made with murine models of colitis (e.g., IL-10 KO [Matharu et al., 2009; Sellon et al., 1998]) provides broad support for the notion that the composition of the gut microbiota is an important environmental determinant of colitis, but such approaches of complete microbiota exchange or ablation have not been especially informative in defining which changes are closely correlated with colitis development, nor do they shed much light on underlying mechanism. "
"10","model","Such incomplete penetrance poses logistical challenges in experimental design when using this model. "
"11","model","Pretreatment of mice with streptomycin provides a Salmonella enterica serovar Typhimurium colitis model that allows analysis of both pathogen and host. "
"12","disease","A Crohn’s disease-associated E. coli strain induced chronic colitis in T5KO, which persisted well after the exogenously introduced bacterial species had been eliminated. "
"13","disease","INTRODUCTION Inflammatory bowel disease (IBD) is thought to result from a breakdown in the relationship between the intestinal mucosalCell Hosimmune system and the large microbial biomass, including about 100 trillion bacteria, that inhabits this organ (Kaser et al., 2010; Xavier and Podolsky, 2007). "
"14","disease","While flagellin is a microbe-associated molecular pattern that is present at the bacterial surface of both pathogenic and nonpathogenic E. coli strains, differential regulation of flagellin expression has been suggested between commensal bacteria and Crohn’s disease (CD)-associated AIEC, and differential regulation under the two-component EnvZ/OmpR regulatory system (Rolhion et al., 2007). "
"15","disease","However, it is a higher penetrance rate than that seen for persons homozygous for the Nod2 frameshift mutation (in which a 17-fold increase results in a disease risk of perhaps 5%), and well beyond the 4% IBD concordance seen among dizygotic twins (Cho and Brant, 2011). "
"16","disease","Increased Susceptibility of TLR5-Deficient Mice to E. coli LF82 Infection The association of enterobacteria with colitis could be a consequence of colitis and/or reflect a role for such bacteria in driving disease. "
"17","disease","While interperson variance, combined with the rapid and dramatic effects of diet, poses a considerable obstacle to this endeavor, perhaps the greatest obscurant to understanding the role of themicrobiota in IBD, and other diseases, is that it has generally only been possible to examine the microbiota in patients after they have been diagnosed, which typically takes place well after initial symptoms occurred. "
"18","disease","Thus, while a number of studies have reported alterations in the microbiota in IBD, the extent to which these occur late or early in the disease process, and whether they are a cause or consequence of disease, remains undefined. "
"19","disease","Together, these results suggest that the elevated enterobacteria observed in colitic T5KO mice are likely both a cause and a consequence of colitis and, moreover, that classic concepts of microbial causation of disease such as Koch’s postulates may not be sufficient to describe the role of the microbiota in disease. "
"20","disease","In this scenario, a more successful, albeit still suboptimal, consequence of altered intestinal/microbiota relationship would be the maintenance of ‘‘low-grade’’ inflammation that correlates with diseases such as obesity, type 2 diabetes, and cancer, whose effects generally do not manifest during one’s prime reproductive years. "
"21","disease","Another possibility suggested by our results is that some IBD-associated bacteria such as AIEC strain LF82 may not merely colonize the gut as a consequence of disease and/or be an aggravating factor of established disease but rather might play an early role in disease pathogenesis, particularly as instigators of inflammation. "
"22","disease","Should either general developmental microbiota volatility or select bacterial taxa correlate with future disease development, it would suggest that the possibility of therapeutic manipulations of the microbiota, particularlyFigure 7. "
"23","disease","150 Cell Host & Microbe 12, 139–152, August 16, 2012 ª2012 Elseviearly in life, might be a reasonable means of preventing diseases associated with active and low-grade intestinal inflammation. "
"24","disease","Regulatory and functional co-operation of flagella and type 1 pili in adhesive and invasive abilities of AIEC strain LF82 isolated from a patient with Crohn’s disease. "
"25","disease","Crohn’s disease-associated Escherichia coli LF82 aggravates colitis in injured mouse colon via signaling by flagellin. "
"26","disease","Crohn’s disease adherent-invasive Escherichia coli colonize and induce strong gut inflammation in transgenic mice expressing human CEACAM. "
"27","disease","Recent insights into the genetics of inflammatory bowel disease. "
"28","disease","Adherent-invasive Escherichia coli: a putative new E. coli pathotype associated with Crohn’s disease. "
"29","disease","Presence of adherent Escherichia coli strains in ileal mucosa of patients with Crohn’s disease. "
"30","disease","Association of NOD2 leucine-rich repeat variants with susceptibility to Crohn’s disease. "
"31","disease","Inflammatory bowel disease. "
"32","disease","A frameshift mutation in NOD2 associated with susceptibility to Crohn’s disease. "
"33","disease","Genome-wide association study identifies new susceptibility loci for Crohn disease and implicates autophagy in disease pathogenesis. "
"34","disease","OmpC and the sigma(E) regulatory pathway are involved in adhesion and invasion of the Crohn’s disease-associated Escherichia coli strain LF82. "
"35","disease","151 Cell Host & Microbe T5KO Mice Harbor Colitic Microbiotaintestinal gene expression and nonspecific resistance to Salmonella-induced typhoid-like disease. "
"36","disease","High-throughput clone library analysis of the mucosa-associated microbiota reveals dysbiosis and differences between inflamed and noninflamed regions of the intestine in inflammatory bowel disease. "
"37","disease","A pyrosequencing study in twins shows that gastrointestinal microbial profiles vary with inflammatory bowel disease phenotypes. "
"38","disease","Unravelling the pathogenesis of inflammatory bowel disease. "
