"","Keyword","Context"
"1","wild","• GM structure in reintroduced GPs converged to that of wild pandas.Abbreviations: GM, gut microbiota; GP, giant panda; C only bamboo diet; OTU, operational taxonomic unit; MAG PCoA, Principal CoordinatesAnalysis; AAs, auxiliary activiti coupled with effect size. "
"2","wild","The GM structure in reintroduced GPs notably converged to that of wild pandas. "
"3","wild","Importantly, themain bacterial genera of wild GPs could aid in lignin degradation, while those of reintroduced GPs were related to cellulose and hemicellulose digestion. "
"4","wild","In addition, results suggested that increasing the ability of lignin degradation with GM may aid to change the GM of reintroduced pandas to resemble those of wild pandas. "
"5","wild","Giant pandas (Ailuropoda melanoleuca, GPs) are solitary animals endemic to China, and their wildlife population sizes are small (Yang et al., 2018; Zhang et al., 2018; Schaller et al., 1985). "
"6","wild","GPs undergo a habitat environment conversion in their wildtraining process (Tang et al., 2019). "
"7","wild","Studies on thewild-training process of GPs have compared the GM composition between the captive, semiwild, reintroduced and wild GPs, whereas the influence of habitat environment on GM has received little attention (Yao et al., 2019a,b; Tang et al., 2019). "
"8","wild","Thus, approximately 14-month old and older GPs can be chosen for a wild-training process habitat conversion experiment (Yao et al., 2019a,b; Tang et al., 2019). "
"9","wild","The reintroduction of captive GPs is effective at increasing their wild population sizes andmitigating population declines. "
"10","wild","Remarkable achievements have been made in the GP conservation breeding program (e.g., through mating, artificial insemination, and parental care behaviors), contributing to the sustainment and increase in captive GP populations that can be used in reintroduction efforts to supplement wild populations (D. "
"11","wild","A recent study compared theGMof the reintroduced andwildGPs, yet robust conclusions on the influence of lifestyle on GM could not be drawn since only one reintroduced GP was available (Yao et al., 2019a,b; Tang et al., 2019). "
"12","wild","The experiment was separated into three stages: wild training I, wild training II, and reintroduction groups. "
"13","wild","The GPs were maintained in wild training I until 20–22 months old, and in wild training II for 6moremonths until theywere 26–28months old. "
"14","wild","In the wild-training, the GPs were living together with their mothers, and bamboos formed the staple food for the GPs. "
"15","wild","After learning skills to survive in the wild during wildtraining I and II, the GPswere separated from theirmothers 2–3months before being reintroduced to the natural forest environment. "
"16","wild","The feces were collected from wild GPs as controls of the reintroduced samples for the different lifestyle experiment. "
"17","wild","GPs were fitted with GPS collars during the wild-training II and reintroduction stages after approval from the State Forestry Administration of China. "
"18","wild","Wild training I and wild training II GPs lived in a large area and natural habitat or primeval forest without any disturbance by humans (the environment space of wild training II was larger than wild training I). "
"19","wild","Reintroduced GPs lived in primeval forest, where the wild GPs live. "
"20","wild","Wild-training I conditions The wild-training I area was located at the Hetaopinge Base of CCRCGP, Wolong, Sichuan (31°4′N, 103°13′E), at an altitude of approximately 2840 m. "
"21","wild","The wildtraining GPs lived with their mothers and learned skills to survive in the wild from their mothers (e.g., tree climbing skills, foraging and avoiding the danger). "
"22","wild","Each GP was trained in a separate wild training area. "
"23","wild","Wild-training II conditions The larger wild-training II facilities were located at the Tiantaishan Base, Wolong, Sichuan (31°1′N, 103°34′E). "
"24","wild","The wild training II area was constructed with steel plates and a barbed-wire fence, with a stream flowing through the area. "
"25","wild","The wild-training II area is of high biodiversity, and similar to those occupied by wild GPs in the Wolong National Natural Reserve. "
"26","wild","Each GP was trained in a separate wildtraining II area.3 2.5. "
"27","wild","Reintroduced and wild conditions According to the learning status in wild-training II, individuals G1 and G2 were chosen for reintroduction. "
"28","wild","In this area, Bashania spanostachya and Fargesia dulcicula bamboos constitute the dominant food for reintroduced and wild GPs. "
"29","wild","Habitat environment conversions and lifestyle experiments To evaluate the effects of habitat environment and lifestyle conversions, the fecal samples of GPs only bamboo fed were collected during two months before wild-training II and reintroduction, and finally one year after reintroduction to the wild. "
"30","wild","The wild-training II and reintroduced GPs were tracked with GPS collar to collect the feces. "
"31","wild","Feces of wild GPs in the natural forest environment were also collected to be compared with the feces of the reintroduced GPs. "
"32","wild","A total of 61 fecal samples from wild-training II and reintroduced GPs were collected. "
"33","wild","The habitat environment conversions comprised three stages including thewild-training I (16S rRNA sequencing n = 17; ITS sequencing n = 10), wild-training II (16S rRNA sequencing n = 16; ITS sequencing n = 12), and reintroduced (16S rRNA sequencing n = 16; ITS sequencing n=13) individuals. "
"34","wild","An additional 15 and 12 fecal samples were collected from wild GPs for 16S rRNA gene and ITS high-throughput sequencing, respectively. "
"35","wild","The reintroduced and wild are two different lifestyles, with different foraging habit and activity histories. "
"36","wild","According to the learning status of wild-training II GP, G1 and G2 were chosen for reintroduction. "
"37","wild","The bacterial community composition of reintroduced pandas was closer to those of wild GPs than to those of wild-training I and wild-training II GPs (Fig. 4a). "
"38","wild","We compared the gut bacterial community composition of wild-training I, wild-training II Fig. "
"39","wild","The richness of gut microbial communities fromwild-training II and reintroduced groupswere significantly higher than that ofwild-training I groups (p < 0.05, Kruskal-Wallis test) (Fig. 4b). "
"40","wild","Proteobacteria was the dominant phylum in wild-training I panda gut communities (61.0%) and its relative abundance was higher in the wild-training I groups than in the other groups (6.4% in wild-training II and 15.2% in reintroduced GPs) (Non-parametric factorial KruskalWallis sum-rank test, LDA>4) (Fig. 4d, e). "
"41","wild","Firmicuteswas thedominant phylum in thewild-training II (92.5%) and reintroduced (84.2%) pandas, and significantly higher than in the communities of wild-training I pandas (37.8%) (Non-parametric factorial Kruskal-Wallis sum-rank tests, LDA > 4). "
"42","wild","Escherichia (30.6%), Acinetobacter (22.4%), and Streptococcus (20.1%) were the most abundant genera in the communities of wildtraining I GPs (Fig. 4d). "
"43","wild","Escherichia was significantly enriched in the wild-training I group, and significantly depleted in the reintroduced7 group (Non-parametric factorial Kruskal-Wallis sum-rank test, LDA > 4) (Fig. 3e). "
"44","wild","In addition, the relative abundance of Acinetobacter in the wild-training I GPs (22.4%) was significantly higher than in the wild-training II (0.4%) and reintroduced (3.2%) GPs (Non-parametric factorial Kruskal-Wallis sum-rank tests, LDA > 4). "
"45","wild","Streptococcus was more abundant (64.2%) the dominant genus in wild-training II GPs and significantly more abundant than in the wild-training I (20.1%) and reintroduced (5.2%) GPs. "
"46","wild","Leuconostoc (13.0%) and Clostridium (10.9%) were abundant the wild-training II GPs. "
"47","wild","The relative abundance of Clostridium and Turicibacter were significantly higher in the reintroduced GPs (40.2% and 8.0%, respectively) than in the wild-training I (5.5% and 0.4%) and wild-training II (10.9% and 1.7%) GPs (Non-parametric factorial Kruskal-Wallis sum-rank test, LDA > 4). "
"48","wild","Variation in gut bacterial communities of giant pandas with different lifestyle We compared the gut bacterial community composition of reintroduced and wild GPs, to analyze the influence of lifestyle on the gut bacterial communities. "
"49","wild","The bacterial diversity of wild GPs was significantly higher than that of the reintroduced GPs (p < 0.05, KruskalWallis test), and no significant differences of bacterial richness were Fig. "
"50","wild","Science of the Total Environment 770 (2021) 145316observed between the reintroduced and wild GPs (p > 0.05, KruskalWallis test) (Supplementary Fig. "
"51","wild","Significant differences were also observed between the communities of the reintroduced andwild pandas at the phylum and genus levels (p < 0.05, Wilcoxon test) (Supplementary Fig. "
"52","wild","At the phylum level, Firmicutes was the predominant phylum in the reintroduced panda (84.2%), and its relative abundance was significantly higher than it in8 thewild GPs (p< 0.05,Wilcoxon test) (Supplementary Fig. 2a). "
"53","wild","The relative abundances of Proteobacteria (51.4%), Bacteroidetes (24.9%) and Verrucomicrobia (1.5%) in the wild GPs were significantly higher than those in the reintroduced GPs (p < 0.05, Wilcoxon test). "
"54","wild","Circles represent samples, with Wild-training I panda communities shown in blue, wild-training II in red and reintroduced in green, and wild in purple. (b) Variation in gut microbiome diversity during habitat environment. "
"55","wild","Circles represent samples, as indicated in panel a. (c) Principal Coordinates Analysis (PCoA) of bacterial community structures from the wild-training I, wild-training II, reintroduced, and wild groups. "
"56","wild","Circles represent samples and are colored as indicated in panel. (d) Differences in overall bacterial phylum-level compositions of the communities from the wild-training I, wild-training II, and reintroduced pandas. (e) Significantly different bacterial taxa among the wild-training I, wild-training II, and reintroduced groups, as identified by linear discriminant analysis coupled with effect size (LEfSe) using the default parameters. "
"57","wild","Blue symbols show wild-training I samples, orange: wild-training II, and green: reintroduced. "
"58","wild","Blue text shows phyla and genera. (f) Differences in overall bacterial genus-level composition of the communities from the wild-training I, wild-training II, and reintroduced experimental groups. "
"59","wild","Pseudomonas (28.3%), Sphingobacterium (8.8%), Flavobacterium (6.0%), and Pedobacter (5.4%) were more abundant in the wild GPs (p < 0.05, Wilcoxon test).3.6. "
"60","wild","The fungal community composition of reintroduced GPs9 was closer to those of wild GPs than to those of wild-training I and wild-training II GPs (Fig. 5a). "
"61","wild","Fungal community richness was significantly higher in the GM of reintroduced pandas compared to those of wild-training (p < 0.05, ANOVA test) (Fig. 5b). "
"62","wild","The fungal diversity of wild-training I GPs was significantly lower than those of wild-training II and reintroduced GPs (p < 0.05, ANOVA test) (Fig. 5c). "
"63","wild","The relative abundance of Ascomycota was higher in wild-training I GPs (92.4%) than in the other groups, and that of Basidiomycota was higher in the wild-training II (33.4%) and reintroduced GPs (21.8%) than in wild-training I GPs (Non-parametric factorial Kruskal-Wallis Fig. "
"64","wild","Circles represent samples, with Wild-training I panda communities shown in blue, wild-training II in red and reintroduced in green, and wild in purple. (b) Variation in gut microbiome diversity during habitat environment. "
"65","wild","Circles represent samples, as indicated in panel a. (c) Principal Coordinates Analysis (PCoA) of fungal community structures from the wild-training I, wild-training II, reintroduced, and wild groups. "
"66","wild","Circles represent samples and are colored as indicated in panel. (d) Differences in overall fungal phylum-level compositions of the communities from the wild-training I, wild-training II, and reintroduced pandas. (e) Significantly different fungal taxa among the wild-training I, wild-training II, and reintroduced groups, as identified by linear discriminant analysis coupled with effect size (LEfSe) using the default parameters. "
"67","wild","Blue symbols show wild-training I samples, orange: wild-training II, and green: reintroduced. "
"68","wild","Blue text shows phyla and genera. (f) Differences in overall fungal genuslevel composition of the communities from the wild-training I, wild-training II, and reintroduced experimental groups. "
"69","wild","At the genus level, Candida (83.1%) was the most dominant genus in the wild-training I GPs followed by Williopsis (2.7%) and Cryptococcus (0.7%), and significantly more abundant than in the wild-training II (3.2%) and reintroduced (2.8%) GPs (Non-parametric factorial Kruskal-Wallis sum-rank test, LDA > 4) (Fig. 3e, f). "
"70","wild","Cryptococcus (12.3%), Shiraia (10.3%), and Cystofilobasidium (8.1%) were the most abundant genera in the wild-training II panda gut communities. "
"71","wild","The relative abundances of Cryptococcus (12.3%), Cystofilobasidium (8.1%), Purpureocillium (3.8%), and Penicillium (2.5%)10were significantly higher in the wild-training II GPs than in the wildtraining I (0.7%, 0.7%, 0.06%, and 0.09%, respectively) and reintroduced (3.2%, 0.6%, 0.1%, and 1.0%, respectively) GPs (Non-parametric factorial Kruskal-Wallis sum-rank test, LDA > 4). "
"72","wild","The relative abundance of Mrakiella (9.2%) was significantly higher in the reintroduced GPs than in the wild-training I (0.1%) and wild-training II (0.7%) GPs (Non-parametric factorial Kruskal-Wallis sum-rank test, LDA > 4). "
"73","wild","Variation in gut fungal communities of giant pandas with different lifestyle Fungal richness and diversity were approximately similar in both the wild and reintroduced GPs. "
"74","wild","Significant differences at phylum and genus level between the reintroduced and wild GPs were observed (p < 0.05, Wilcoxon test) (Supplementary Fig. "
"75","wild","The relative abundance of eleven genera were significantly different between the reintroduced and wild GPs (Supplementary Fig. "
"76","wild","For example, Candida (2.8%) was more abundant in the reintroduced GPs, while Calycina (13.2%) was more abundant in the wild GPs (p < 0.05, Wilcoxon test). "
"77","wild","Gut microbiome dynamics associated with habitat environment conversion Consistent with the differences in GM of wild and captive primates (Clayton et al., 2016) and bears (Borbón-García et al., 2017), the richness of the gut bacteria and the richness and diversity of gut fungi of reintroduced GPs were higher than those of GPs in the beginning of wild-training. "
"78","wild","Previous studies have shown that the richness of GM of wild GPs was higher than that of captive GPs, and the higher richness could be due to exposure tomore diversemicrobial meta-communities in the natural environment (Burns et al., 2016; Schmidt et al., 2019; Wu et al., 2017). "
"79","wild","Possibly the increase in space from the beginning of the wild training to reintroduction lead to the increased resources (e.g. food, water, social interactions) (Schaller et al., 1985) and interactions with metacommunities (Schmidt et al., 2019) that contributed to the diversity and richness increase. "
"80","wild","However, Proteobacteria was the most dominant phylum in the gut of wild-training I GPs, while Firmicutes was the most abundant phylum in wild-training II and reintroduced pandas. "
"81","wild","Proteobacteria was the dominant phylum in the gut communities of wild-training I GPs (Wei et al., 2015), and Firmicutes in the guts of wild GPs (Zhu et al., 2011). "
"82","wild","Similarly, Firmicutes was the dominant phylum in wild deer mice and musk deer (D. "
"83","wild","At the genus level, Escherichiawas significantly enriched in thewildtraining I panda gut bacterial communities (Non-parametric factorial Kruskal-Wallis sum-rank test, LDA > 4). "
"84","wild","Streptococcus and Leuconostoc were more abundant in the wildtraining II GP gut communities, while Clostridium, Leuconostoc, and Turicibacter were enriched in the reintroduced GPs (Non-parametric factorial Kruskal-Wallis sum-rank test, LDA > 4). "
"85","wild","These genera may be involved in the digestion of bamboo in wild GPs (Oyeleke and Okusanmi, 2008; Zhu et al., 2011), which could help the GPs to gain adequate energy from limited nutritional sources.12Similar to the diet conversion experiment, Ascomycota and Basidiomycota were the dominant fungal phyla in the GM of wild-training I, wild-training II, and reintroduced pandas, although their relative abundances varied between groups. "
"86","wild","Cryptococcus was enriched in the gut communities of wild-training II GPs, and Mrakiella was abundant in those of the reintroduced GPs. "
"87","wild","Gut microbiome dynamics associated with different lifestyle The bacterial diversity of the GM of wild GPs was higher than those of reintroduced GPs. "
"88","wild","Yao et al., reported that the semi-wild GP had less stable gut microbial community than wild GP (Yao et al., 2019a,b). "
"89","wild","The relative abundance of Firmicutes, including Clostridium, Leuconostoc and Turicibacter, was higher in the GM of the reintroduced GPs than in the GM of the wild GPs. "
"90","wild","Similar with the wild GPs in Xiaoxiangling and Minshan mountains (Yao et al., 2019a,b), Proteobacteria, including Pseudomonas, were dominant in the GM of the wild GPs. "
"91","wild","The ability of Pseudomonas to degrade secondary compounds (e.g., cyanide compounds and aromatic compounds)may be related to the high proportion of Pseudomonas in the wild GPs (Yao et al., 2019a,b; Zhu et al., 2018). "
