"","Keyword","Context"
"1","wild","We observed significant changes in the abundance of the Firmicutes and Bacteroidetes phyla, in particular the Lachnospiraceae, Porphyromonodaceae and Prevotellacea families, when comparing Casp-1, -7 and -3 knockout mice with wild-type mice. "
"2","wild","Keywords: caspase-1; caspase-3; caspase-7; knockout; gut microbiome; pyrosequencing Abbreviations: Casp-1, caspase-1; Casp-3, caspase-3; Casp-7, caspase-7; WT, wild-type; KO, knockout; IL-1, interleukin 1; IL-18, interleukin 18; IL-33, interleukin 33; DSS, dextran sulfate sodium; MID, multiplex identifier sequence; OTU, operational taxonomic unit; NMDS, non-metric multidimensional scaling; qPCR, quantitative PCR; SCFA, short-chain fatty acid Citation: Cell Death and Disease (2011) 2, e220; doi:10.1038/cddis.2011.101 & 2011 Macmillan Publishers Limited All rights reserved 2041-4889/11 www.nature.com/cddis effective clearance of bacteria.14 A third example is the release of antimicrobial proteins, such as histone H1, by apoptotic intestinal epithelial cells to prevent invasion by commensal and pathogenic bacteria.15 In most published studies, it was assumed that aberrant caspase expression or activation in host cells affects the immune system and/or cell death machinery, the host alone being responsible for the manifested phenotype. "
"3","wild","Results and Discussion General characteristics of the microbiomes of Casp-KO and -wild-type (WT) mice. "
"4","model","In vivo experimental models of infection have demonstrated that Casp-1-knockout (KO) mice are more susceptible to a variety of infections.6 The role of Casp-1 in dextran sulfate sodium (DSS)-induced colitis is controversial. "
"5","model","The host microbiota can be considered as a complex trait that is under host genetic control.19,20 Mouse models are crucial for the study of single-gene changes in the genome and are used widely to gain insight into the biology of human diseases. "
"6","model","The significant increase of this family in Casp-1and -7-KO mice might mean that these mice are protected in bacteria-induced colitis models, whereas the Casp-3-KO mice, which have significantly fewer Porphyromonadaceae, would be sensitized in these models. "
"7","knockout","We observed significant changes in the abundance of the Firmicutes and Bacteroidetes phyla, in particular the Lachnospiraceae, Porphyromonodaceae and Prevotellacea families, when comparing Casp-1, -7 and -3 knockout mice with wild-type mice. "
"8","knockout","In vivo experimental models of infection have demonstrated that Casp-1-knockout (KO) mice are more susceptible to a variety of infections.6 The role of Casp-1 in dextran sulfate sodium (DSS)-induced colitis is controversial. "
"9","knockout","Keywords: caspase-1; caspase-3; caspase-7; knockout; gut microbiome; pyrosequencing Abbreviations: Casp-1, caspase-1; Casp-3, caspase-3; Casp-7, caspase-7; WT, wild-type; KO, knockout; IL-1, interleukin 1; IL-18, interleukin 18; IL-33, interleukin 33; DSS, dextran sulfate sodium; MID, multiplex identifier sequence; OTU, operational taxonomic unit; NMDS, non-metric multidimensional scaling; qPCR, quantitative PCR; SCFA, short-chain fatty acid Citation: Cell Death and Disease (2011) 2, e220; doi:10.1038/cddis.2011.101 & 2011 Macmillan Publishers Limited All rights reserved 2041-4889/11 www.nature.com/cddis effective clearance of bacteria.14 A third example is the release of antimicrobial proteins, such as histone H1, by apoptotic intestinal epithelial cells to prevent invasion by commensal and pathogenic bacteria.15 In most published studies, it was assumed that aberrant caspase expression or activation in host cells affects the immune system and/or cell death machinery, the host alone being responsible for the manifested phenotype. "
"10","disease","Aberrant inflammatory and apoptotic caspase activity has been described in a large number of human diseases, including inflammatory bowel disease and colorectal cancer. "
