"","Keyword","Context"
"1","wild","In this study, we show that STING / mice presented defective protective mechanisms of intestinal mucosa, including decreased number of goblet cells, diminished mucus production, and lower levels of secretory IgA, when compared with wild-type (WT) mice. "
"2","wild","Small intestine and colon of wild-type (WT) and STING / mice were collected for analyses of (a) villi height, (c) crypt height, and (e) the number of goblet cells per crypt. "
"3","wild","STING / mice had lower frequency of CD4þ LAPþ Treg cells in colonic lamina propria and lower ARTICLES MucosalImmunology | VOLUME 11 NUMBER 3 |MAY 2018 823 STING DAPI STING U ns tim ul at ed ds D N A 90 Fe ca l c on te nt M ic ro bi ot a D N A PC1-31.88% P C 213 .1 5% PCoA Unweighted Unifrac Distances d IF N -β (r el at iv e ex pr es si on ) c WT + ABX STING–/– + ABX IF N -β (r el at iv e ex pr es si on ) a e f g h i b WT STING–/– IF N -β (r el at iv e ex pr es si on ) PC1-35.75% P C 230 .9 7% PCoA Weighted Unifrac Distances Control Sting KO Sutterella Alcaligenaceae Burkholderiales Betaproteobacteria Allobaculum Erysipelotrichaceae Erysipelotrichales Erysipelotrichi Ruminococcus Oscillospira Unknown genus Unknown genus Lachnospiraceae Unknown genus Unknown family Lactobacillus Lactobacillaceae Lactobacillales Bacilli Prevotella Paraprevotellaceae Unknown genus S24-7 Unknown genus Rikenellaceae Bacteroides Bacteroidaceae Bifidobacterium Bifidobacteriaceae Bifidobacteriales Actinobacteria Actinobacteria Desulfovibrio Desulfovibrionaceae Desulfovibrionales Deltaproteobacteria Unknown Bacteroidales Bacteroidia Bacteroidetes Firmicutes Clostridiales Clostridia Ruminococcaceae Proteobacteria 0.8 0.010 0.008 0.6 0.4 0.2 0.006 0.004 0.002 0.0 0.000 0 500 1000 1500 WT Bacteroidetes Firmicutes 38.3% Proteobacteria Actinobacteria 55.2% 3.89% 2.61% 0.26% Bifidobacterium Desulfovibrio Allobaculum STING–/– Bacteroidetes Firmicutes43.2% ProteobacteriaActinobacteria 52.4% 3.2% 0.38% 1.2% 1.2% 4% 12% Bifidobacterium Desulfovibrio Allobaculum 3.2%Sting KO Control Sting KO Control Figure 2 Activation of STING (stimulator of interferon genes) by commensals. (a) Confocal microscopy of wild-type (WT) murine embryonic fibroblasts (MEFs) stained with anti-STING and DAPI (4,6-diamidino-2-phenylindole), unstimulated or stimulated for 4 h with STING-activating dsDNA (dsDNA90 base pairs), fecal content, or microbiota DNA purified from feces from WT mice. "
"4","wild","To address this question, we employed three different inflammatory insults: (a) a model of dextran sodium sulfate (DSS)-induced colitis in which intestinal inflammation is associated with epithelial destruction, self DNA release, and bacterial translocation;47 (b) a model of colitis induced by naive CD4þCD45RBhigh T-cell transfer into RAG / mice in Figure 3 Altered frequency of intraepithelial lymphocytes (IELs) and innate lymphoid cells (ILCs) in STING / mice. (a) Representative plots of IELs in the small intestine of wild-type (WT) and STING / mice. "
"5","wild","Analysis of colon morphology and histology of the colons showed that their lengths were similar among control untreated animals, but DSS treatment led to a significant reduction in colon length, which was more evident in STING / mice % P ro lif er at io n % o f M ax CFSE 1:1 1:2 1:4 1:8c e g % C D 4+ F ox p3 C D 25 + M LN c el ls WT STING–/– % C D 4+ L A P+ in M LN c el ls WT STING–/– % C D 4+ C D 25 + Fo xp 3+ in c LP c el ls % C D 4+ L A P+ in c LP c el ls WT STING–/– b a j d f h WT STING–/– IL -1 0 M LN (n g/ m L) 4.69%14% CD4FSC 83% 35.3% LAP Foxp3 S S C S S C S S C C D 25 WT STING–/– IL -1 0 co lo n (n g/ m L) WT STING–/– APC + Tnaive APC + Tnaive + WT Treg APC + Tnaive + STING–/– Treg 0 10 20 30 10 8 6 4 2 0 4 3 2 1 0 100 60 80 40 20 10 12 14 16 8 6 4 2 0 0 10 8 6 4 2 0 0.8 0.6 0.4 0.2 0.0 WT STING–/– TG Fβ co lo n (n g/ m L) 0 0.05 0.10 0.15 0.20 0.25 i WT STING–/– TG Fβ M LN (n g/ m L) 1.5 2.0 1.0 0.5 0.0 ## ## Figure 4 Frequency of regulatory T (Treg) cells in colon lamina propria (cLP) and mesenteric lymph nodes (MLN) of wild-type (WT) and STING / mice. (a) Representative plots of gating strategy for Treg CD4þCD25þFoxp3þ and Treg CD4þLAPþ cells. (b) Frequency of Treg CD4þCD25þFoxp3þ in cLP and (c) MLN of WT and STING / mice. (d) Frequency of Treg CD4þLAPþ in cLP and (e) MLN of WT and STING / mice. (f) Levels of interleukin (IL)-10 and (h) transforming growth factor (TGF)-b cytokines in colon extract of WT and STING / mice. (g) Levels of IL-10 and (i) TGF-b in MLN culture of cells stimulated with anti-CD3 and anti-CD28 for 48 and 72 h, respectively. (j) CD4þCD62LþCD44low or CD4þCD25þ cells were purified by fluorescence-activated cell sorting from the spleen of 8-week WT and STING / mice and co-cultured with antigen-presenting cells (APCs) and anti-CD3 stimuli for 3 days at different proportions. "
"6","wild","ILC2 was shown to mediate tissue protection during intestinal injury, such as DSS-induced colitis, by limiting inflammation and promoting Figure 6 Interferon (IFN)-a/bR / mice are also susceptible to dextran sodium sulfate (DSS)-induced colitis. (a) Weight change following DSS administration, monitored everyday. (b) Clinical score of wild-type (WT) and IFN-a/bR / mice during DSS treatment, where a higher score corresponds to increased pathology. (c) Survival ofWTand IFN-a/bR / mice. "
"7","adaptat","Tissue adaptation: Implications for gut immunity and tolerance. "
"8","mutant","The N-ethyl-N-nitrosourea-induced Goldenticket mouse mutant reveals an essential function of Sting in the in vivo interferon response to Listeria monocytogenes and cyclic dinucleotides. "
"9","model","In this study, we investigated the physiological function of STING in the gut as well as the impact of its absence in T-cellinduced colitis, in Salmonella infection and in dextran sodium sulfate (DSS)-induced colitis, a model of intestinal inflammatory disease that is associated with epithelial destruction and bacterial translocation. "
"10","model","To address this question, we employed three different inflammatory insults: (a) a model of dextran sodium sulfate (DSS)-induced colitis in which intestinal inflammation is associated with epithelial destruction, self DNA release, and bacterial translocation;47 (b) a model of colitis induced by naive CD4þCD45RBhigh T-cell transfer into RAG / mice in Figure 3 Altered frequency of intraepithelial lymphocytes (IELs) and innate lymphoid cells (ILCs) in STING / mice. (a) Representative plots of IELs in the small intestine of wild-type (WT) and STING / mice. "
