"","Keyword","Context"
"1","wild","A recent study in 10 wild American black bears demonstrated that normal wound healing was maintained in hibernation, despite reduced skin temperatures, which were 4 – 6 °C lower than the hibernation body temperature (28). "
"2","wild","Increased levels of A2M protein in hibernating brown bears was also found by Mominoki et al. (26); and Sheikh et al. (29) demonstrated similar increases in serum A2M from wild black bears using anti-bear A2M rabbit polyclonal antibodies. "
"3","wild","Recently, Sommer et al. (21) analyzed metabolites by mass spectrometry in serum from 12 to 15 wild brown bears and confirmed the presence of significantly increased levels of free cholesterol, cholesteryl esters, and triglycerides in hibernation, and they also determined the levels of various bile salts, which decreased in hibernation. "
"4","wild","Experimental Procedures Animals—The Scandinavian Brown Bear Research Project collects blood samples twice a year from free-ranging (wild) bears in Dalarna, Central Sweden, during hibernation and activity. "
"5","wild","(2012) Wound healing during hibernation by black bears (Ursus americanus) in the wild: elicitation of reduced scar formation. "
"6","wild","(2003) Elevated levels of serum 2-macroglobulin in wild black bears during hibernation. "
"7","adaptat","We quantified the biochemical adaptations for hibernation by comparing the proteome, metabolome, and hematological features of blood from hibernating and active free-ranging subadult brown bears with a focus on conservation of health and energy. "
"8","adaptat","The comprehensive global data identified novel biochemical strategies for bear adaptations to the extreme condition of hibernation and have implications for our understanding of physiology in general. "
"9","adaptat","The ability to hibernate is an old evolutionary adaptation used by very different families of mammals. "
"10","adaptat","Despite a wealth of information on hibernation and torpor physiology, the trigger of the physiological adaptations remains elusive (1–3). "
"11","adaptat","Nitrogen Metabolism—It is a major challenge to the physiological adaptations for hibernation in bears to conserve and recycle nitrogen in protein metabolism within the metabolic energy available in this condition, while avoiding intoxication. "
"12","adaptat","We discovered a number of specific adaptations to hibernation involving defense against pathogens, lipid transport and metabolism, iron and nitrogen conservation, total protein levels, and half-lives. "
"13","adaptat","The biochemical data have been interpreted in the context of known physiological adaptations. "
"14","adaptat","Therefore, we conclude that decreased levels of the majority of blood plasma proteins and the maintenance or increase of levels of just a few key proteins in blood plasma by liver protein synthesis are the principal energy savers in bear hibernation adaptation, due to dehydration, a lowered temperature, a general downregulation of translation, and a balanced translation of effector and regulator proteins in the complement and blood clotting pathways. "
"15","adaptat","(2014) Comparative functional genomics of adaptation to muscular disuse in hibernating mammals. "
"16","adaptat","(2010) Cardiac function adaptations in hibernating grizzly bears (Ursus arctos horribilis). "
"17","adaptat","(2014) Population genomics reveal recent speciation and rapid evolutionary adaptation in polar bears. "
"18","model","For these reasons, the hibernating bear is a fascinating model in the biological and medical science fields. "
"19","model","However, our molecular modeling of this C3-like domain was inconclusive in this respect and further analysis will be needed. "
"20","model","Schwanhäusser et al. (38) quantified mRNA and protein levels and their half-lives globally in pulse-labeled mouse fibroblast cultures, and they derived a model predicting protein abundance in cells. "
"21","model","Our results reveal a number of unexpected changes in protein concentration in hibernation, some expanding fundamental physiological understanding derived from human and non-hibernating animal models. "
"22","disease","At the same time, muscle and bone are preserved (10 –13), and atherosclerosis (14) and cardiac disease (8, 15) appear to be absent. "
"23","disease","The use of subadult animals reduced the risk of interference of pregnancy, sexual activity, and past diseases in the analyses. "
"24","disease","In addition, high SHBG levels have been found to correlate with lower cardiovascular disease risk factors in young men (45). "
"25","disease","(2014) Serum sex hormone-binding globulin and testosterone in relation to cardiovascular disease risk factors in young men: a population-based study. "
"26","human","A commercially available human reference plasma sample was analyzed in parallel. "
"27","human","We denoted bear proteins by the most similar human gene names, and the corresponding UniProt consortium accession numbers and function assignments (supplemental Table S1). "
"28","human","The bear protein database we used (supplemental file bear-protein-db-Febr2013.txt) was derived from the genome sequence of polar bear Ursus maritimus (17) and annotated by BlastP against the non-redundant human NCBI Reference Sequence Database. "
"29","human","The natural hemoglobin concentration in bear plasma therefore remains unknown and might be like that in healthy humans, in whom the range is 0.01–0.04 g liter1. "
"30","human","The arrows indicate two forms of glycosylated SHBG (like in human SHBG (28)). "
"31","human","Protein names come from the corresponding human genes. "
"32","human","The figure was modified after Reactome’s human pathways (54). "
"33","human","In addition to the well studied human complement components, we found a C3-like component (W/S ratio 0.45), which is 40% identical in amino acid sequence to human C3. "
"34","human","This component is present also in giant panda, dog, and pig but not in human or mouse. "
