"","Keyword","Context"
"1","wild","We demonstrate that downregulation of RNF-5 decreased sensitivity to tunicamycin both in wild type and in an ire-1 mutant. "
"2","wild","Abbreviations ATG: autophagy; ER: endoplasmic reticulum; ERAD: ER-associated protein degradation; RNF5: RING finger protein 5; UPR: unfolded protein response; WT: wild-type Key Words autophagy, C. elegans, endoplasmic reticulum, IRE1, lysosome, RMA1, RNF5 AC CE PT ED M AN US CR IP T Introduction Endoplasmic reticulum (ER) stress is caused primarily by an increase in misfolded protein load in the ER. "
"3","wild","Growing rnf-5(tm794) deletion mutant in media containing the ER stress inducer tunicamycin resulted in a better ability of the mutant animals to develop to L4 larvae and adults when compared to wild type animals. "
"4","wild","This rescue was limited to mild ER stress (tunicamycin ≤2 µg/ml) as rnf-5(tm794) animals exhibited similar sensitivity as wild type animals in tunicamycin concentrations of ≥3 µg/ml resulting in developmental arrest (Fig. "
"5","wild","Both wild-type and rnf-5(tm794) animals became more sensitive to tunicamycin following atg-4.1, atg-4.2, bec-1, atg-7 and lgg-1 RNAi (Fig. "
"6","wild","In general, rnf-5(tm794) showed higher resistance compared to wild type in most of the conditions, but when lgg-1 was downregulated or both atg-4.1 (ortholog to the human ATG4A and ATG4B) and atg-4.2 (ortholog to the human ATG4C) were codownregulated, rnf-5(tm794) animals lost their resistance and showed sensitivity similar to wild-type animals. "
"7","wild","Different mutants exhibit difference in starvation survival, for example daf-2 mutants survive longer in starvation than wild type [53,54] and IRE-1 is essential for recovery from L1 arrest [11]. "
"8","wild","While wild type and rnf-5(tm794) animals resumed development after 21.8±0.2 and 23.3±0.2 days of starvation respectively, ire-1(v33) mutant animals accumulated dead cell vacuoles (Fig. "
"9","wild","We conclude that autophagy contributes to the rescue of ire-1;rnf-5 double mutant ability to overcome L1 starvation. rnf-5 knockout increases the lifespan of ire-1 mutant animals The lifespan of ire-1(v33) animals is much shorter (9.4±0.3 days) when compared to wild type and rnf5(tm794) (20±0.5 and 21.1±0.5 days, respectively), but in double mutant rnf-5(tm794);ire-1(v33) the lifespan was extended to 12.5±0.3 days (Fig. "
"10","wild","In wild-type animals DAF-28::GFP is produced in several anterior sensory neurons and in the posterior intestine and secreted to the coelom. "
"11","wild","In wild-type animals, a GFP signal is detected in anterior sensory neurons, the posterior intestine and in coelomocytes. "
"12","wild","Increased levels of lysosomal proteases in rnf-5(tm794) mutant animals To identify downstream elements regulated by RNF-5, we performed a quantitative proteomic profiling of wild type and rnf-5(tm794) mutant animals under mild ER stress induced by 1µg/ml tunicamycin. "
"13","wild","Our analysis identified 44 proteins with higher levels in rnf-5(tm794) animals compared to wild-type animals and 4 proteins with lower levels (Fig. "
"14","wild","Interestingly, when compared to wild-type animals, knockout of rnf-5 was not beneficial in all the conditions tested. "
"15","wild","Likewise, it extended the lifespan and improved the recovery of L1 larvae from starvation in ire-1 deficient animals, with only a slight effect on wild-type animals. "
"16","wild","In contrast in conditions where autophagy levels are increased (for example when exposed to high concentrations of tunicamycin or in aging or L1-arrested wild-type animals), a further increase in autophagy levels may not have an added value for the organism. "
"17","wild","Interestingly, there was a major decrease in the levels of Aurora-A kinase AIR-1 (Table S4, red) in rnf-5(tm794) animals when compared to wild-type. "
"18","wild","(A) N2 (wild-type) and rnf-5(tm794) embryos were treated with the indicated concentrations of tunicamycin. "
"19","wild","(B) Survival rates of atg-3 single mutant and atg-3;rnf-5 double mutant are lower than wild-type and rnf-5 single mutant. "
"20","wild","(B) Lifespan of atg-3 single mutant and atg-3;rnf-5 double mutant is shorter compared to wild-type and rnf-5 single mutant. "
"21","wild","(A) Protein-protein interactions for differentially expressed proteins identified in a proteomics screen of rnf5(tm794) and wild type animals grown on 1 µg/ml Tunicamycin (mild ER stress). "
"22","wild","AIR-1 (labeled with asterisk) was downregulated in rnf-5(tm794) mutant worms compared to wild type. "
"23","wild","(C) Representative fluorescence micrographs of day-1 adult wild type, rnf-5(tm794), ire-1(v33) and rnf5(tm794);ire-1(v33) animals stained with LysoTracker Red DND-99. "
"24","wild","(A) Representative fluorescent images of day 1 adults stained with Magic Red fluorophore in wild type, single mutants rnf-5(tm794) and ire-1(v33) and double mutants rnf-5(tm794);ire-1(v33). "
"25","wild","Differentially expressed proteins identified in the proteomics screen of rnf-5(tm794) and wild The experimental group carrying the rnf-5(tm794) allele was grown on 15N labeled bacteria (H). sequence Gene Name Description Y56A3A.3 mif-1 MIF (Macrophage migration Inhibitory Factor) related intestine, m K08D10.3 rnp-3 RNP (RRM RNA binding domain) containing H27M09.2 rpb-5 RNA Polymerase II (B) subunit F57F5.1 F57F5.1 cysteine-type peptidase (ortholog of cathepsin B) predicted: C17F4.7 C17F4.7 unknown intestine,p F58B3.1 lys-4 LYSozyme predicted: F58B3.3 lys-6 LYSozyme predicted: T13B5.3 pho-14 intestinal acid PHOsphatase intestine, m C04G2.6 dis-3 DIS3 (yeast disjunction abnormal) exonuclease homolog pharynx, m system, co Y43F8C.13 Y43F8C.13 predicted purine nucleosidase intestine,p C52E4.1 cpr-1 Cysteine PRotease related intestine T21H3.1 T21H3.1 hydrolase intestine T21G5.3 glh-1 Germ Line Helicase germline C55B7.1 glh-2 Germ Line Helicase germline H20J04.4 H20J04.4 DEAD-box RNA helicase F53G2.6 tsr-1 Transporter of SR proteins H37A05.1 lpin-1 LIPIN (mammalian lipodystrophy associated) homolog vulval mus T04H1.9 tbb-6 TuBulin, Beta pharynx R05F9.8 msp-33 Major Sperm Protein primary sp F47B10.2 haly-1 Histidine Ammonia LYase nervous sy F27D4.4 F27D4.4 zinc finger CCCH-type intestine, h F43D9.4 sip-1 Stress Induced Protein D1054.8 D1054.8 dehydrogenase H13N06.6 tbh-1 Tyramine Beta Hydroxylase nervous sy R05G6.7 vdac-1 VDAC (Voltage Dependent Anion Channel) homolog muscle, hy R10E9.1 msi-1 MuSashi (fly neural) family nervous sy F40F4.6 irg-7 Infection Response Gene intestine C04F6.1 vit-5 VITellogenin structural genes (yolk protein genes) intestine F59D8.1 vit-3 VITellogenin structural genes (yolk protein genes) intestine F59D8.2 vit-4 VITellogenin structural genes (yolk protein genes) K10C2.3 asp-14 ASpartyl Protease C39D10.7 C39D10.7 chitin-binding protein reproducti D1037.3 ftn-2 FerriTIN intestine, p F25D7.4 maph-1.2 Microtubule-Associated Protein Homolog C36A4.5 maph-1.3 Microtubule-Associated Protein Homolog AC CE PT ED M AN US CR IP T C28C12.7 spp-10 SaPosin-like Protein family intestine, m F44C4.3 cpr-4 Cysteine PRotease related intestine Y37A1B.17 Y37A1B.17 guanine nucleotide exchange factor F37C12.13 exos-9 EXOSome (multiexonuclease complex) component muscle, ge C25B8.3 cpr-6 Cysteine Protease related H15N14.1 adr-1 Adenosine Deaminase acting on RNA nervous sy F18A1.5 rpa-1 Replication Protein A homolog pharynx, g F21F8.7 asp-6 ASpartyl Protease intestine, p T05C3.5 dnj-19 DNaJ domain (prokaryotic heat shock protein) R08E5.3 R08E5.3 methyltransferase intestine K12G11.3 sodh-1 Sorbitol DeHydrogenase family intestine, m F56C9.10 F56C9.10 microtubule associated cell migration factor muscle, ne K07C11.2 air-1 Aurora/Ipl1 Related kinase germline, d AC CE PT ED M AN US CR IP T"
"26","adaptat","While autophagy occurs at a basal constitutive level to mediate global turnover of cytoplasmic materials [17], it can be further induced in response to nutrient deprivation and prevents amino acid insufficiency as well as energy production, both of which are essential for survival and adaptation to starvation [18,19]. "
"27","mutant","To better understand the function of RNF-5 under ER-stress conditions, we studied the ability of Caenorhabditis elegans rnf-5(tm794) mutant animals to cope with stress in the background of impaired UPR machinery. "
"28","mutant","We demonstrate that downregulation of RNF-5 decreased sensitivity to tunicamycin both in wild type and in an ire-1 mutant. "
"29","mutant","Double-mutant rnf-5;ire-1 animals showed increased starvation resistance and extended lifespan when compared to the ire-1 mutant. "
"30","mutant","In normal growth conditions ire-1 mutant animals develop slowly [7,8], exhibit impaired secretory protein metabolism[9], have a shortened lifespan [10] and fail to recover from starvation-induced developmental arrest [11]. "
"31","mutant","One of the most established substrates of the mammalian RNF5 is the ERAD substrate CFTRΔF508, a mutant form of CFTR (CF transmembrane conductance regulator) [37,40-42]. "
