"","Keyword","Context"
"1","wild","2018;11:1671–1685.  |  1671wileyonlinelibrary.com/journal/eva Received: 22 January 2018  |  Revised: 18 May 2018  |  Accepted: 29 May 2018 DOI: 10.1111/eva.12658 O R I G I N A L A R T I C L E Structural and compositional mismatch between captive and wild Atlantic salmon (Salmo salar) parrs’ gut microbiota highlights the relevance of integrating molecular ecology for management and conservation methods Camille Lavoie1,2  | Maxime Courcelle3 | Baptise Redivo4 | Nicolas Derome1,2 This is an open access article under the terms of the Creative Commons Attribution License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited. "
"2","wild","However, Atlantic salmon stocked juveniles show higher mortality rates than wild ones when introduced into nature. "
"3","wild","Hatchery environment, which greatly differs from the natural environment, is identified as the main driver of the phenotypic mismatch between captive and wild parrs. "
"4","wild","We hypothesized that hatcheryraised parrs potentially recruit gut microbial communities that are different from those recruited in the wild. "
"5","wild","Striking differences between hatchery and wildborn parrs’ gut microbiota suggest that microbiota could be another factor that could impact their survival in the targeted river, because the microbiome is narrowly related to host physiology. "
"6","wild","For instance, major commensals belonging to Enterobacteriaceae and Clostridiacea from wild parrs’ gut microbiota were substituted in captive parrs by lactic acid bacteria from the Lactobacillaceae family. "
"7","wild","Overall, captive parrs host a generalist bacterial community whereas wild parrs’ microbiota is much more specialized. "
"8","wild","This is the very first study demonstrating extensive impact of captive rearing on intestinal microbiota composition in Atlantic salmon intended for wild population stocking. "
"9","wild","However, several studies show that stocking methods do not meet expected results as hatcheryborn fish exhibit significantly inferior survival rates (from 0.1% to 0.5%) compared to their wildborn relatives (4%): (Ford, 2002; Kristiansen, Ottera, & Svasand, 2000; Stringwell et al., 2014; Svasand & Kristiansen, 1990), in addition to a lower fitness (Araki, Berejikian, Ford, & Blouin, 2008; Milot et al., 2013). "
"10","wild","Overall, physiology of stocked salmon is different than that of wild ones (Poole et al., 2003; Stringwell et al., 2014), but it is still unclear how the physiological mismatch takes place between hatcheryand wildborn individuals. "
"11","wild","Several factors may contribute to these unsuccessful results, such as a strong local adaptation of wildborn salmon to natural conditions (Dionne, Caron, Dodson, & Bernatchez, 2008; Perrier, Bourret, Kent, & Bernatchez, 2013), even though juveniles are generated with wild breeders captured from the targeted river in order to provide hatcheryborn juveniles with genetic adaptations from the targeted wild population. "
"12","wild","Despite a genetic composition issued from the wild population, phenotypic mismatch remains in stocked parrs. "
"13","wild","The two populations are subjected to conservation stocking, for which juveniles are reared in hatchery until they reach the stage of 0+ parrs before being released into the wild. "
"14","wild","Captive 0+ parrs, issued from wild breeders and reared in Tadoussac Hatchery (Quebec, Canada), have been sampled and compared to their wild relatives. "
"15","wild","By hypothesizing that parrs’ gut microbiota composition is influenced more by rearing environment than breeder’s genotype, this study aimed to      |  1673LAVOIE Et AL. (a) characterize environmental microbiota from hatchery and river waters, (b) characterize the gut microbiota composition from captive and wildborn parrs from the same genetic population (i.e., Rimouski or Malbaie), and (c) identify symbionts that are specific either to hatcheryor wildborn parrs’ gut microbiota. "
"16","wild","Three predictions were made as follows: (a) Environmental microbial communities would significantly differ between the two rivers and the hatchery water, (b) gut microbiota composition of captive and wildborn parrs from the same genetic population would significantly differ, and (c) exclusive taxa would be found in both hatcheryand wildborn parrs’ gut microbiota. "
"17","wild","For instance, captive parrs’ microbiota hosts mainly Lactobacillaceae whereas their wild relatives host mainly Enterobacteriaceae. "
"18","wild","Consequently, stocked parrs’ gut microbiota may not confer the same metabolic functions as their wild relatives. "
"19","wild","Although further investigations are needed to understand how the divergence of the gut microbiota between the reared parrs’ microbiota and their wild relatives will affect their survival in the wild, it is now clear that host–microbiome interactions must not be neglected for stocking programs. "
"20","wild","According to their time of capture, wild breeders from Malbaie and Rimouski rivers were kept in captivity for a period ranging from 2 months to 5 years before spawning. "
"21","wild","During incubation, water temperature was set according to the “modified natural thermal regime” to mimic the natural growth rate of wild salmon juveniles. "
"22","wild","A total of 27 parrs were sampled: five wild parrs from the Rimouski river, six wild parrs from the Malbaie river, eight captive parrs from the Rimouski population, and eight captive parrs from the Malbaie population. "
"23","wild","This test allowed us to visualize the dispersion of the microbiota taxonomic structure within captive and wild parrs’ samples. "
"24","wild","3.1 | Microbiota structure analysis Analysis of the alphadiversity (Shannon index) of the gut microbiota (Figure 1a) showed that captivebred parrs housed a much more diversified microbiota than wild parrs. "
"25","wild","Malbaie wild parrs (MWP) (mean Shannon index: 2.12) exhibited an intermediate richness between Malbaie captivebred parrs and Rimouski wild parrs. "
"26","wild","Alphadiversity measurement boxplots for Shannon, Chao1, and Pielou’s evenness indexes (for water and gut samples), as well as a F IGURE  1  (a) Alphadiversity of gut microbiota is lower in wild parrs when compared to their captive relatives. "
"27","wild","The node size is proportional to the number of connections a sample makes with other samples, where captive parrs’ microbiota shows higher number of connections within its group than wild parrs (a) (b) a ab a b 1 2 3 4 5 Al ph a di ve rs ity m ea su re Parrs origin Malbaie captive Malbaie wild Rimouski captive Rimouski wild Environment place      |  1675LAVOIE Et AL. table indicating their respective values are provided in supporting information (Supporting Information Figures S1, S2, S3 and Table S3). "
"28","wild","However, individual gut microbiota from wildborn parrs from both populations are not connected to each other and, more importantly, are either loosely (RWP) or not (MWP) related at all to their respective captive relatives. "
"29","wild","At last, wildborn parrs mean Spearman coefficient correlation was higher for RWP (mean coefficient: 0.800) than for MWP samples (mean coefficient: 0.461), suggesting lower microbiota compositional homogeneity in MWP when compared to RWP. "
