"","Keyword","Context"
"1","wild","In this study, we found that caspase-14/ mice show enhanced antibacterial response compared to wild-type mice when challenged with bacteria. "
"2","wild","Therefore, we compared the microbial communities between wild-type and caspase-14/ mice by sequencing of bacterial 16S ribosomal RNA genes. "
"3","wild","Although both wild-type and caspase-14/ skin were dominated by the Firmicutes phylum, the Staphylococcaceae family was reduced in caspase-14/ mice. "
"4","wild","The caspase-14/ skin showed disturbance in the microflora under static conditions, manifested in a more heterogeneous bacterial composition compared to wild-type mice. "
"5","wild","After birth, wild-type and caspase14/ female mice were housed together, and after weaning (at the age of 3 weeks), they were kept for 6 weeks in separate cages. "
"6","wild","The differential abundance of each taxonomic unit between wild-type and caspase-14 deficient samples was tested using a one-sided Wilcoxon rank-sum test (P-value), corrected for multiple testing using the Benjamini– Hochberg false discovery rate (q-value). "
"7","wild","Hence, we investigated whether there was a difference in antimicrobial activity between caspase-14 deficient and wild-type skin. "
"8","wild","No antimicrobial activity was observed in the skin of unchallenged wild-type and caspase14/ animals (Fig. "
"9","wild","However, after stimulation of the skin with E. coli in a Finn chamber model, caspase-14 deficient skin showed stronger bactericidal activity against E. coli (Gram-negative) (Fig. 1a) and against Bacillus subtilis and Staphylococcus aureus (Gram-positive) than wild-type skin (Fig. 1b and c). "
"10","wild","The caspase-14/ skin microbiome differs from the wildtype hairless skin microbiota The RDA experiments suggest that the dermal microbiome of caspase-14 knockout skin is capable to mount an enhanced antimicrobial reaction. "
"11","wild","The skin of wildtype and caspase-14/ mice was colonized mainly by the phylum Firmicutes, with a minor contribution of Proteobacteria (Fig. 2a). "
"12","wild","The higher microbial diversity in caspase-14 deficient mice compared to wild-type mice was reflected by detection of significant overrepresentation of other, relatively low-abundant phyla, such as ª 2014 John Wiley & Sons A/S. "
"13","wild","By rarefying the metagenomic samples at different taxonomic levels, we found that wild-type skin consistently displayed a lowered taxa richness than caspase-14/ skin with respect to family (P = 0.014), genus (P = 0.013) and OTU (P = 0.037) level (Fig. 2b and Fig. "
"14","wild","Principal coordinates analysis (PCoA) performed at the family level showed a strong clustering of the wild-type group, with a very low variation (Fig. 2c). "
"15","wild","By contrast, caspase14/ samples were clearly different from the tight wild-type cluster and showed a strong variation and low correlation among samples, a finding that was confirmed by a PCoA on OTU and genera abundances (Fig. "
"16","wild","The composition of the KO1 microbiome was very similar to the wild-type group. "
"17","wild","The clustering of wild-type microbiota was similarly pronounced at the OTU level, while the knockout group showed no consistent clustering on all taxonomic levels and a higher within group dispersion. "
