"","Keyword","Context"
"1","wild","Expression of the proinflammatory chemokine interleukin 8 (IL-8), detected with in situ mRNA labeling, was higher in animals infected with wild-type S. flexneri versus mutant strains deficient in icsA or T3SS, suggesting that epithelial invasion promotes expression of this chemokine. "
"2","wild","Additionally, none of the mutants induced colonic edema or epithelial cell sloughing, pathological features that characterized wild-type (WT) infection (Fig. 2; see Fig. "
"3","wild","The Smr strain was used as the wild-type (WT) strain for all subsequent experiments, including animal experiments and construction of mutant strains. "
"4","wild","The streptomycin resistance allele was transferred from the Smr wild-type strain into strain BS103 by P1 transduction, yielding a Smr plasmidless strain. "
"5","wild","Mutations generated by lambda red were moved into a clean genetic background by transferring the mutation to the Smr wild-type strain via P1 transduction. "
"6","wild","Infant rabbits were administered a subcutaneous injection of Zantac (ranitidine hydrochloride; 50 mg/kg of body weight; GlaxoSmithKline) 3 h prior to inoculation with the wild type (Smr) or isogenic mutants. "
"7","wild","Immunofluorescence images were analyzed from 20 wild-type rabbits and at least 4 rabbits infected with each of the various mutant bacterial strains, or uninfected rabbits; 2 or 3 colon sections per rabbit were examined. "
"8","fitness","ARTIST: high-resolution genome-wide assessment of fitness using transposon-insertion sequencing. "
"9","mutant","Expression of the proinflammatory chemokine interleukin 8 (IL-8), detected with in situ mRNA labeling, was higher in animals infected with wild-type S. flexneri versus mutant strains deficient in icsA or T3SS, suggesting that epithelial invasion promotes expression of this chemokine. "
"10","mutant","(A) Clinical signs in infant rabbits infected with S. flexneri or isogenic mutant strains. "
"11","mutant","Initially, a high-density transposon mutant library in S. flexneri was created using a mariner-based transposon that inserts at TA dinucleotide sites in the genome. "
"12","mutant","Infant rabbits were inoculated with the transposon library, and transposon mutants that persisted after 36 hpi were recovered from the colon. "
"13","mutant","12 8. poson mutants that were present in the input library. "
"14","mutant","These random losses of mutants confound interpretation of these experiments and preclude accurate identification of genes subject to in vivo selection. "
"15","mutant","We also tested isogenic mutants that lack one of two key virulence factors: IcsA (ΔicsA strain), which is required for intracellular actin-based motility and cell-to-cell spreading, and MxiM (ΔmxiM strain), which is a T3SS structural component (57). mxiM deletion mutants do not assemble a functional T3SS, do not secrete T3SS effectors, and do not invade tissue-cultured epithelial cells (57–59). "
"16","mutant","Like the plasmidless strain, the ΔicsA and ΔmxiM strains did not cause disease; none of the rabbits infected with either of these two mutant strains developed diarrhea, succumbed to infection, or had a reduction in body temperature (Fig. "
"17","mutant","Additionally, none of the mutants induced colonic edema or epithelial cell sloughing, pathological features that characterized wild-type (WT) infection (Fig. 2; see Fig. "
"18","mutant","All three of the mutant strains had reduced capacities to colonize the infant rabbit intestine (Fig. "
"19","mutant","Notably, the reduction in the colonization of the icsA mutant was at least as great as the other two mutant strains, suggesting that cell-to-cell spreading or the adhesin function of IcsA is critical for intestinal colonization. "
"20","mutant","Interestingly, the icsA mutant led to an accumulation of heterophils (innate immune cells that are the rabbit equivalent of neutrophils) in the colon that was not observed in animals infected with the WT strain (Fig. "
"21","mutant","The mxiM mutant also recruited more heterophils to the lamina propria and epithelial cell layer than the WT strain (Fig. "
"22","mutant","Since colonic pathology was altered in the mutant strains, we investigated the intestinal localization and IL-8 production induced by the mutants. "
"23","mutant","All three of the mutant strains were found almost exclusively in the lumen of the colon (Fig. "
"24","mutant","S4); in contrast to the WT strain (Fig. 3), it was difficult to detect infection foci in the epithelial cell layer in animals infected with mutant strains (Fig. "
"25","mutant","The icsA mutant was occasionally observed inside epithelial cells (Fig. "
"26","mutant","As expected, we observed very few cells expressing IL-8 mRNA in the colons of rabbits infected with any of the three mutant S. flexneri strains (Fig. "
"27","mutant","Despite the reduced intestinal colonization of the icsA and mxiM mutants, these strains elicited more pronounced colonic inflammation (characterized by infiltration of heterophils) than the WT strain did. "
"28","mutant","IL-8 expression, detected with in situ mRNA labeling, was higher in animals infected with the WT versus the mutant strains, suggesting that epithelial invasion promotes expression of this chemokine. "
"29","mutant","Collectively, our findings suggest that Δm xiM A D Mid SI Distal SI Mid colon Distal colon Proximal SI B C WT Δic sA pla sm id E Δm xiMWT Δic sA pla sm id Δm xiMWT Δic sA pla sm id Δm xiMWT Δic sA pla sm id Δm xiMWT Δic sA pla sm id 10 10 FIG 5 Intestinal colonization of WT and mutant S. flexneri. "
"30","mutant","The presFIG 6 Colonic pathology in rabbits infected with WT or mutant S. flexneri. "
"31","mutant","In panel C (MxiM mutant), the inset to the right displays a magnified version of the boxed region of the larger micrograph. "
