"","Keyword","Context"
"1","wild","Jardine2*Abstract Background: Clostridium difficile is an important enteropathogen affecting humans, domestic animals, and wildlife. "
"2","wild","In addition to humans and domestic animals, disease associated with C. difficile has been reported in a variety of wildlife species [4, 5]. "
"3","wild","Clostridium difficile can also be found in soil and water and in the intestinal tracts of apparently healthy humans and animals, including wildlife [6–8]. "
"4","wild","Although wild animals are reservoirs for various infectious agents and can* Correspondence: cjardi01@uoguelph.ca 2Department of Pathobiology and Canadian Wildlife Health Cooperative, University of Guelph, Guelph, ON N1G 2W1, Canada Full list of author information is available at the end of the article © 2015 Bondo et al. "
"5","wild","Open Access This article International License (http://creativecommons reproduction in any medium, provided you g the Creative Commons license, and indicate if (http://creativecommons.org/publicdomain/zebe involved in the transmission of pathogens to and from humans and domestic animals [9], the role of wildlife, if any, in the epidemiology of C. difficile is not clear [10]. "
"6","wild","The prevalence of ribotype 078xin profile and toxinotype) isolated from raccoons trapped on ) of isolates farms 9 No. (%) of isolates conservation from areas n = 225 Total no. (%) isolates n = 444 2 (0.9 %) 2 (0.4 %) %) 4 (1.8 %) 6 (1.3 %) %) 1 (0.4 %) 3 (0.7 %) %) 2 (0.9 %) 11 (2.5 %) 1 (0.4 %) 1 (0.2 %) 1 (0.4 %) 1 (0.2 %) %) 0 1 (0.2 %) 2 (0.9 %) 2 (0.4 %) 1 (0.4 %) 1 (0.2 %) %) 0 1 (0.2 %) 1 (0.4 %) 1 (0.2 %) %) 0 1 (0.2 %) %) 0 1 (0.2 %) %) 0 1 (0.2 %) %) 0 1 (0.2 %) %) 0 1 (0.2 %) 1 (0.4 %) 1 (0.2 %) %) 0 1 (0.2 %) %) 0 1 (0.2 %) ned to ribotypes previously detected in our laboratory, and WR numbers were that have only been see in wildlife (i.e., WR3 which was detected in a raccoon Table 2 Univariable logistic regression model with random effects (site and animal) showing associations between Clostridium difficile status and raccoon age (adult or juvenile), sex, location type (farm or conservation area), and season (May to July or August to October) Predictor Sub-category (n = sample size) % C. difficile positive (95 % CI)a Univariable modelsb Odds ratio 95 % CI Covariance parameter estimates (95 % CI) P Site level Animal leveld Agec Juvenile (n = 83) 2.4 (0.3–8.4) Referent Adult (n = 360) 10.0 (7.1–13.6) 4.79 1.11–20.60 0.28 (0.04–1.8) 0.036 Location type Conservation (n = 225) 7.1 (4.1–11.3) Referent Swine farm (n = 219) 10.0 (6.4–14.8) 1.42 0.57–3.59 0.21 (0.02–1.8) 0.448 Sex Female (n = 245) 8.6 (5.4–12.8) Referent Male (n = 199) 8.5 (5.1–13.3) 0.93 0.46–1.88 0.27 (0.04–1.9) 0.14e 0.831 Season Aug. to Oct. (n = 165) 3.0 (1.0–6.9) Referent May to July (n = 279) 11.8 (8.3–16.2) 4.81 1.80–12.87 0.21 (0.06–1.8) 0.002 aCI = confidence interval bSignificant differences are in bold cAge for 1 individual was unknown dThe random effect for animal was not included in the models for age, location type, and season because it explained 5.3 × 10-31 to 4.2 × 10-30 of the variance, and its removal from the model changed the coefficients little and did not change the model according to AIC and BIC eThe 95 % confidence interval was estimated to be between 3.6 × 10-11 and 5.6 × 108 Bondo et al. "
"7","wild","Further studies with larger sample sizes and more study sites that concurrently examine the occurrence of C. difficile in wildlife, livestock and the environment will help to identify potential sources of C. difficile for wildlife. "
"8","wild","Himsworth et al. (2014) [27] found no association between season and C. difficile status in wild urban rats (Rattus spp). "
"9","wild","Additional studies, occurring over longer time periods, with larger sample sizes, and with raccoons prior to weaning are required to better understand the seasonal and demographic factors that may be associated with C. difficile occurrence in wildlife. "
"10","wild","Emerging infectious diseases of wildlife-threats to biodiversity and human health. "
"11","wild","Detection of Clostridium difficile in small and medium-sized wild mammals in Southern Ontario, Canada. "
"12","wild","Carriage of Clostridium difficile by wild urban Norway rats (Rattus norvegicus) and black rats (Rattus rattus). "
