"","Keyword","Context"
"1","wild","RESEARCH ARTICLE Hindgut microbiota in laboratory-reared and wild Triatoma infestans Andreea WaltmannID 1*, Alexandra C. "
"2","wild","Here we characterized the microbiota in T. infestans feces of both wild-caught and laboratory-reared insects and examined the relationship between microbial composition and T. cruzi infection using highly sensitive high-throughput sequencing technology to sequence the V3-V4 region of the 16S ribosomal RNA gene on the MiSeq Illumina platform. "
"3","wild","We collected 59 wild (9 with T. cruzi infection) and 10 lab-reared T. infestans (4 with T. cruzi infection) from the endemic area of Arequipa, Perú. "
"4","wild","Microbiota of lab insects comprised a subset of those identified in their wild counterparts, with 96 of the total 124 genera also observed in laboratory-reared insects. "
"5","wild","Among wild insects, variation in bacterial composition was observed, but time and location of collection and development stage did not explain this variation. "
"6","wild","T. cruzi infection in lab insects did not affect αor β-diversity; however, we did find that the β-diversity of wild insects differed if they were infected with T. cruzi and identified 10 specific taxa that had significantly different relative abundances in infected vs. uninfected wild T. infestans (Bosea, Mesorhizobium, Dietzia, and Cupriavidus were underrepresented in infected bugs; Sporosarcina, an PLOS Neglected Tropical Diseases | https://doi.org/10.1371/journal.pntd.0007383 May 6, 2019 1 / 26 a1111111111 a1111111111 a1111111111 a1111111111 a1111111111 OPEN ACCESS Citation: Waltmann A, Willcox AC, Balasubramanian S, Borrini Mayori K, Mendoza Guerrero S, Salazar Sanchez RS, et al. "
"7","wild","(2019) Hindgut microbiota in laboratory-reared and wild Triatoma infestans. "
"8","wild","Our findings suggest that T. cruzi infection is associated with the microbiota of T. infestans and that inferring the microbiota of wild T. infestans may not be possible through sampling of T. infestans reared in the insectary. "
"9","wild","Our study is the first to use sensitive high-throughput methods to study the gut microbes of T. infestans, using both laboratoryreared and wild insects. "
"10","wild","We have found that the microbial composition of T. infestans in the laboratory does not reflect the complete collection of gut microbes of wild T. infestans and inferring the gut microbiota profile of wild insects through studying lab insects alone may not be possible. "
"11","wild","We also found evidence that in wild insects T. cruzi affects the composition of the gut microbiota and identified some bacterial taxa which may be important in modulating the T.infestans-T.cruzi relationship. "
"12","wild","In the wild, acquisition of non-symbiotic/environmental or host-associated microbes can also occur through coprophagy and during bloodmeals when in contact with the mammalian host [19]. "
"13","wild","Microbiota of wild insects has also been found to differ from laboratory insects [17, 20, 23, 24, 26–30]. "
"14","wild","To our knowledge, there have been no examinations of the microbiome of wild Triatoma infestans by high-throughput sequencing, and there is only one study examining eight labreared T. infestans [25]. "
"15","wild","Using deep sequencing of the 16S ribosomal RNA gene at the variable V3-V4 locus we characterized the microbiome of 59 wild-caught and 10 laboratory-reared T. infestans from endemic communities in Arequipa, Perú. "
"16","wild","The objective of our study was to identify and compare the hindgut microbial composition of lab-reared and wild T. infestans and of T. cruzi-infected and uninfected insects and explore correlations between T. cruzi infection and specific microbiota profiles. "
"17","wild","Microbial composition analyses Diversity estimates (α-diversity, within-group, and β-diversity, between group) were calculated with respect to origin (wild-caught vs. laboratory-reared T. infestans), T. cruzi infection, stage, and temporal and spatial factors. "
"18","wild","Results Insect collection and T. cruzi qPCR Fecal specimens from 69 T. infestans (59 wild-caught and 10 laboratory-reared) were used in this study. "
"19","wild","Nine of the 59 wild bugs (15.3%) and 4 of the 10 laboratory bugs (40.0%) were T. cruzi-infected, confirmed by both microscopy of fresh fecal samples and qRT-PCR. "
"20","wild","Approximately half of the wild insects (32, 54.2%) were collected in the urban district of Alto Selva Alegre, but the majority of infected wild insects were captured in the rural district of Murco (5/9, 55.6%). "
"21","wild","Of 59 wild insects, 29 were adults (49.2%), 17 (28.8%) were fifth instars, 7 (11.9%) were fourth instars and the remainder 6 insects (10.2%) were third instars. "
"22","wild","Six of the 9 infected wild triatomines were fifth instars and the other 3 were adults. "
"23","wild","No wild infected third and fourth instars were sampled. "
"24","wild","Only two samples belonging to wild insects had<1000 sequences and for many of the downstream analyses affected by sample depth, these two samples were excluded. "
"25","wild","The other samples of wild insects all had>2000 sequences. "
"26","wild","The genus-level bacterial composition of all lab insects (n = 10) and all wild (n = 59) is shown in Fig 1A and 1B, respectively. "
"27","wild","Microbiota comparison of laboratory-reared vs. wild T. infestans We first compared the αand β-diversities of 2013 and 2015 laboratory-reared insects to confirm the validity of combining the data of these insects. "
"28","wild","Bacterial genera and their relative abundance in the fecal microbiota of laboratory-reared T. infestans (A) and wildcaught T. infestans (B). "
"29","wild","Of 124 genera identified in wild insects, 96 were also found in the lab-reared T. infestans. "
"30","wild","A total of 124 genera were identified for all wild T. infestans. "
"31","wild","The 22 genera listed comprised 84.5% of the overall microbiome of wild insects with individual relative abundances ranging from 1.1–17.6% of all 16S sequences in wild insects. "
"32","wild","The population-level relative abundance of these genera (calculated as the sequence counts assigned to that genera/total sequence counts in all wild insects x 100) is given. "
"33","wild","The remaining genera, which each made up<1% of all 16S sequences from wild insects, are listed as “Other genera” in the legend. https://doi.org/10.1371/journal.pntd.0007383.g001 Microbiome of Triatoma infestans by deep sequencing PLOS Neglected Tropical Diseases | https://doi.org/10.1371/journal.pntd.0007383 May 6, 2019 8 / 26 and 2015 insects did not differ significantly when comparing α-diversity with number of observed taxa as the metric (p = 0.430) and β-diversity (weighted Unifrac, ANOSIM R = -0.079, p = 0.605) (S1 Fig). "
"34","wild","Next, we compared the microbial composition between wild-caught and laboratory-reared T. infestans. "
"35","wild","All of the bacterial taxa identified in the complete dataset were seen in the wildcaught insects. "
"36","wild","The microbiomes of laboratory-reared T. infestans were a subset of the wildcaught T. infestans microbiota (S2 Fig) and included 56 of the total 70 bacterial families (80.0%, S3 Table) and 96 of the total 124 genera identified (77.4%, S3 Table). "
"37","wild","The 28 genera absent from the lab-reared insects included both rare taxa in the wild insect population (present in only 2–5 of the 59 wild insects) and common taxa (present in up to 40/59 wild insects) (S3 Table) and represented mainly soil-associated bacteria [48]. "
"38","wild","By rarefaction analyses of number of observed taxa (Fig 2A and 2B), the α-diversity of laboratory-reared T. infestans was significantly lower than that of wild-caught T. infestans (p = 0.001) at increasing rarefaction depths (2000, 5000 and 10000 sequences, S3 Fig) and by the additional metrics Chao1 and Faith’s Phylogenetic Diversity (S4 Fig). "
"39","wild","The greater α-diversity in wild compared to lab insects was evident when inspecting the taxa plots (Fig 1), as only three genera dominated the microbiomes of the lab-reared insects: 97.4% of the overall microbiome of lab-reared insects was composed of Enterococcus (58.7%), an unclassified Enterobacteriaceae genus (36.7%), and Bacillus (2.0%) (Fig 1A), with the remaining 2.6% of sequences assigned to the other 93 genera. "
"40","wild","The high prevalence of this unclassified Enterobacteriaceae genus is notable since it was present in only 0.25% of all 16S sequences of wild T. infestans (S3 Table), the largest difference in relative abundances observed between wild and lab insects. "
