"","Keyword","Context"
"1","wild","For terrestrial animal production, potential sources consist of feed, humans, water, air/dust, soil, wildlife, rodents, arthropods and equipment. "
"2","wild","Potential sources for this sector include soil, dust, farm animals, wildlife, arthropods, workers, equipment and process water. "
"3","wild","Pastures, soil, surface water, drinking water, air, dust, wildlife or other domestic animal species are other potential sources of higher relevance for animals kept outdoor as compared to closed facilities. "
"4","wild","These highest priority bacteria have been isolated from a range of sources, including manure, water, workers and wildlife at primary production, as well as transport, lairage, slaughter and meat processing at post-harvest level. "
"5","wild","In livestock production, preventing transmission from other animals (e.g. rodents, arthropods and wild birds), dust, feed or surface run-off water, as well as proper implementation of cleaning/disinfection, and hygienic procedures for workers are relevant. "
"6","wild","In addition, transmission between livestock and between wild animals and livestock will also affect AMR within livestock and food-producing environmental microbiomes. "
"7","wild","Other sources include contaminated production equipment, wildlife, rodents and arthropods. "
"8","wild","Crops grown in the open environment are potentially exposed to numerous sources of ARB including wildlife, contaminated irrigation water and fertilisers of faecal origin such as manures and sewage sludge. "
"9","wild","It is becoming increasingly evident that both avian and mammalian wildlife acquire AMR and are vectors for short and long-distance ((inter)continental) environmental transmission (Dolejska and Literak, 2019; Swift et al., 2019). "
"10","wild","Intrusion of wildlife onto farmland and faecal contamination of water used for irrigation by wildlife are likely to be important sources of contamination of fresh produce with enteric pathogens (Gutierrez-Rodrıguez and Adhikari, 2018); the same can be assumed for AMR (Plaza-Rodriguez et al., 2020). "
"11","wild","These sources are, therefore, described first and include contamination of water by animal and human faecal origin, and introduction with soil, air or dust as well as with wildlife. "
"12","wild","In principle, all types of wildlife have been shown to be carriers of ARB, mostly acquired from human or livestock environments (Vittecoq et al., 2016; Darwich et al., 2019; Dolejska, 2020; Ramey and Ahlstrom, 2020). "
"13","wild","ARB are frequently found in wild mammals and birds although the direction of transmission between wildlife and livestock is usually unclear (Arnold et al., 2016). "
"14","wild","In turn, insectivorous wildlife species, as well as farm animals, are likely to acquire ARB from flies (Royden et al., 2016; Nowakiewicz et al., 2020). "
"15","wild","Other wildlife species might act as natural reservoirs for more specific resistant clones e.g. hedgehogs which seem to be a natural reservoir for S. aureus with mecC encoded methicillin resistance (Rasmussen et al., 2019). "
"16","wild","The presence of ARB has also been demonstrated in wild boar (Bonardi et al., 2019; Torres et al., 2020) and other animals which surround pig farms (Allen et al., 2011). "
"17","wild","All in all, the limited understanding of the wildlife intestinal microbiome may limit efforts to assess AMR dissemination, as the likelihood of acquiring a certain species within the microbiome by wildlife species and the capacity to transmit it locally or at long-distance is relatively unknown. "
"18","wild","Typhimurium, which can contaminate grain which is grown or stored on pig or cattle farms because of the activity of wild birds and rodents (Davies and Wales, 2013). "
"19","wild","Furthermore, forage or haylage can be faecally contaminated (FAO/WHO, 2019a), including by wild animals (Surette and Wright, 2017). "
