"","Keyword","Context"
"1","wild","However, the composition of the natural S. aureus population in wild and laboratory rats is largely unknown. "
"2","wild","Here, 144 nasal S. aureus isolates from free-living wild rats, captive wild rats and laboratory rats were genotyped and profiled for antibiotic resistances and human-specific virulence genes. "
"3","wild","The nasal S. aureus carriage rate was higher among wild rats (23.4%) than laboratory rats (12.3%). "
"4","wild","Free-living wild rats were primarily colonized with isolates of clonal complex (CC) 49 and CC130 and maintained these strains even in husbandry. "
"5","wild","Five captive wild rats were colonized with CC398-MRSA. "
"6","wild","Moreover, a single CC30-MRSA and two CC130-MRSA were detected in free-living or captive wild rats. "
"7","wild","Taken together, our study revealed a natural S. aureus population in wild rats, as well as a colonization pressure on wild and laboratory rats by exposure to livestockand human-associated S. aureus, respectively. "
"8","wild","Besides humans, S. aureus is also able to colonize and infect numerous other species, including companion animals, livestock as well as wild animals [9–13]. "
"9","wild","For instance, wild rats caught on farms were carrying typical livestock-associated (LA)-MRSA strains (e.g., clonal complex (CC) 398 and sequence type (ST) 97) [18,21], while urban rats carried the same MRSA lineages prevalent in the respective local human or animal population (e.g., USA300-ST8) [19]. "
"10","wild","While investigating the epidemiology of S. aureus in both wild and laboratory mice in previous studies, we have found distinct clonal lineages and hints for host adaptation [11,34,42]. "
"11","wild","This was achieved by collecting S. aureus strains from free-living and captive wild rats, as well as laboratory rats, followed by determining the population structure and antibiotic resistance profiles of these S. aureus isolates. "
"12","wild","Laboratory Rats and Wild Rats Are Colonized with S. aureus This study aimed at determining the prevalence and molecular epidemiology of S. aureus, including MRSA, in free-living and captive wild rats, as well as laboratory rats. "
"13","wild","Therefore, 145 free-living wild rats captured between 2009 and 2017 in three German federal states as well as in the Czech Republic were analyzed for S. aureus nasal carriage (Tables S1 and S2). "
"14","wild","In addition, a total of 188 captive wild rats originating from three German federal states and held in laboratory housing or large enclosures for several years were investigated for S. aureus nasal carriage (Tables S3 and S4). "
"15","wild","Overall, the S. aureus carriage rate was similar among free-living wild rats (37/145; 25.5%) and captive wild rats (41/188; 21.8%), but lower among laboratory rats (14/114; 12.3%) (Table 1). "
"16","wild","In free-living wild rats, the highest prevalence was seen in the Moravian-Silesian Region (MSR, 62.1%), followed by the German states Mecklenburg-Western Pomerania (MV, 22.2%), and then North Rhine-Westphalia (NRW, 17.3%) (Table 1 and Table S6). "
"17","wild","This divergence was even more pronounced among captive wild rats, where breeding procedures and hygiene measures can promote or prevent the spread of S. aureus, respectively. "
"18","wild","For instance, S. aureus prevalence was very high (77.1%) in captive Toxins 2020, 12, 80 4 of 22 wild rats in Berlin (BE) (Table 1, Tables S4 and S7). "
"19","wild","In contrast, one wild rat population caught at a farm and afterwards held in husbandry in NRW was completely S. aureus-free. "
"20","wild","Prevalence of Staphylococcus aureus in free-living wild rats, captive wild rats and laboratory rats. "
"21","wild","(Rats) S. aureus + (%) MRSA (%) 3 PenR (%) 4 Free-living wild GER BW 17 1 (5.9) 1 (5.9) 1 (100.0) GER MV 18 4 (22.2) 0 (0.0) 1 (25.0) GER NRW_1 49 4 (8.2) 1 (2.0) 3 (75.0) NRW_2 32 10 (31.3) 0 (0.0) 9 (90.0) CZE MSR 29 18 (62.1) 0 (0.0) 1 (5.6) Total 145 37 (25.5) 2 (1.4) 15 (40.5) Captivewild GER BB 72 14 (19.4) 5 (6.9) 5 (35.7) GER BE 35 27 (77.1) 1 (2.9) 25 (92.6) GER NRW 81 0 (0.0) 0 (0.0) 0 (0.0) Total 188 41 (21.8) 6 (3.2) 30 (73.2) Laboratory GER BW 20 0 (0.0) 0 (0.0) 0 (0.0) GER HE 40 7 (17.5) 0 (0.0) 5 (71.4) GER MV 21 7 (33.3) 0 (0.0) 7 (100.0) GER NRW 33 0 (0.0) 0 (0.0) 0 (0.0) Total 114 14 (12.3) 0 (0.0) 12 (85.7) 1 Free-living wild rats: rats that were collected in the wild between 2009 and 2017 using live, electric as well as snap traps, in addition to bait poisons; captive wild rats: offspring of wild rats that were bred in a laboratory setting or a large enclosure for several years or even decades; laboratory rats: domesticated rats raised for animal experiments or as feeder animals. "
"22","wild","2 For captive wild rats, the state where the animal husbandry is located is provided. 3 % relative to the total number of rats tested. "
"23","wild","Free-living wild rats were predominantly colonized with two S. aureus lineages: CC130 (N = 21) and CC49 (N = 15) (Figure 1A and Table S6). "
"24","wild","In addition, a single CC30 isolate was detected in a free-living wild rat caught in a German town. "
"25","wild","Interestingly, captive wild rats held in laboratories or large enclosures for several years were colonized either with the above described rat-related lineages CC130 (N = 7) and CC49 (N = 1), the wild mouse-related lineage ST890 (N = 5) or with the livestock-associated lineage CC398 (N = 28) (Figure 1A and Table S7) [11]. "
"26","wild","For instance, wild rats whose predecessors were captured on a pig farm in 2015 (strain Neufels) and kept under laboratory settings in two separate husbandries (BB and BE) were mostly (28/41; 68.3%) colonized with CC398 (spa type t011) (Tables S4 and S7). "
"27","wild","In contrast, the offspring of wild rats captured in a city were colonized with CC130-MSSA and ST890-MSSA. "
"28","wild","Notably, there was no overlap between the S. aureus populations in laboratory rats and wild rats (both free living and captive). "
"29","wild","Notably, there was no overlap between the S. aureus populations in laboratory rats and wild rats (both free living and captive). "
"30","wild","S. aureus isolates were obtained from free-living as well as captive wild rats, in addition to laboratory rats. "
"31","wild","(A) Isolates were clustered according to their origin (free-living wild rats, captive wild rats, laboratory rats). "
"32","wild","S. aureus isolates from free-living wild rats with direct contact with livestock or from captive wild rats whose ancestors have had contact with livestock are depicted in a lighter shade. "
"33","wild","For captive wild rats, the location of the husbandry, rather than their capture location, is depicted. "
"34","wild","Among wild rats (both free-living and captive), CC130 was most widely spread (Figure 2A). "
"35","wild","Similarly, CC49 was detected in both free-living and captive wild rats originating from BE, NRW and the Czech Republic (MSR). "
"36","wild","S. aureus isolates were obtained from free-living as well as captive wild rats, in addition to laboratory rats. "
"37","wild","(A) Isolates were clustered according to their origin (free-living wild rats, captive wild rats, laboratory rats). "
"38","wild","S. aureus isolates from free-living wild rats with direct contact with livestock or from captive wild rats whose ancestors have had contact with livestock are depicted in a lighter shade. "
"39","wild","For captive wild rats, the location of the husbandry, rather than their capture location, is depicted. "
"40","wild","Among wild rats (both free-living and captive), CC130 was most widely spread (Figure 2A). "
"41","wild","Similarly, CC49 was detected in both free-living and captive wild rats originating from BE, NRW and the Czech Republic (MSR). "
"42","wild","The S. aureus lineages CC49 and CC130 are widespread among wild rats, whereas CC8, CC15 and CC188 are widespread among laboratory rats. "
"43","wild","For captive wild rats, the location of the husbandry, rather than their capture location, is depicted. "
"44","wild","The different lineages are color coded; S. aureus isolates from free-living and captive wild rats are depicted in differentially-striped bars. "
"45","wild","While the resistance rate was low in S. aureus isolates from free-living wild rats (15/37; 40.5%), it averaged 73.2% (30/41) in captive wild rats and 75.8% (50/66) in laboratory rats. "
"46","wild","This pattern is also reflected by varying rates of penicillin resistance in S. aureus lineages associated with either free-living wild rats (CC49, CC130), captive wild rats (CC130, ST890), laboratory rats (various CCs) and captive wild rats with previous livestock contact (CC398) (Figure 1A, B). "
"47","wild","MRSA Was Detected among Wild Rats, but Not among Laboratory Rats In general, several wild rats were colonized with MRSA, while the laboratory rat population was free of MRSA (Table 2). "
"48","wild","In total, 6/188 (3.2%) captive wild rats and 2/145 (1.4%) free-living wild rats were colonized with MRSA. "
"49","wild","Five out of six MRSA-positive captive wild rats were colonized with CC398-MRSA. "
"50","wild","The S. aureus lineages CC49 and CC130 are widespread among wild rats, whereas CC8, CC15 and CC188 are widespread among laboratory rats. "
"51","wild","For captive wild rats, the location of the husbandry, rather than their capture location, is depicted. "
"52","wild","The different lineages are color coded; S. aureus isolates from free-living and captive wild rats are depicted in differentially-striped bars. "
"53","wild","While the resistance rate was low in S. aureus isolates from free-living wild rats (15/37; 40.5%), it averaged 73.2% (30/41) in captive wild rats and 75.8% (50/66) in laboratory rats. "
"54","wild","This pattern is also reflected by varying rates of penicillin resistance in S. ureus lineages associated with either free-living wild rats (CC49, CC130), captive wild rats (CC130, ST890), laboratory rats (various CCs) and captive wild rats with previous livestock contact (CC398) (Figure 1A,B). "
"55","wild","MRSA Was Detected among Wild Rats, but Not among Laboratory Rats In general, several wild rats were colon z d with MRSA, while the laboratory rat population was free of MRSA (Table 2). "
"56","wild","In total, 6/188 (3.2%) captive wild r t and 2/145 (1.4%) free-living wild rats were colonized with MRSA. "
"57","wild","Five out of six MRSA-positive captive wild rats ere colonized with CC398-MRSA. "
"58","wild","MRSA isolates from free-living and captive wild rats. "
