"","Keyword","Context"
"1","wild","The microbiota in the inflamed gut of these mice is less diverse than in the healthy wild-type controls and dominated by only a few bacterial species including Escherichia coli and Blautia producta. "
"2","wild","Healthy wild-type mice served as controls. "
"3","wild","To find experimental support for this hypothesis, we measured intestinal steroid concentrations in 24-week-old IL-10-/mice with chronic gut inflammation and in healthy wildtype animals. "
"4","wild","However, proportions were always lower in the wild-type mice (data not shown). "
"5","wild","Since the fecal dry matter between IL-10-/and wild-type mice differed significantly, neutral sterol concentrations were also calculated based on fecal wet weight. "
"6","wild","In cecal contents and feces, concentrations of total BAs and total secondary BAs were significantly lower in the IL-10-/than in the wild-type mice (Fig. "
"7","wild","The wild-type control animals did not show any signs of inflammation in the cecum and colon (0.61 ± 0.22 and 0.56 ± 0.17, respectively). "
"8","wild","We observed colorectal carcinoma formation in 55% of the IL-10-/ animals but no tumors in the wild-type mice. "
"9","wild","Dry matter of cecal and colonic material was slightly higher in wild-type than in IL-10-/mice (25.7 ± 1.8% vs. "
"10","wild","Fecal dry matter was significantly higher in wild-type than in IL-10-/animals (42.2 ± 0.7% vs. "
"11","wild","Fecal pH did not differ significantly between IL-10-/(6.18 ± 0.62) and wild-type mice (6.38 ± 0.47). "
"12","wild","These differences were more pronounced in the wild-type animals. "
"13","wild","Intestinal steroid concentrations in the intestine of 24-week-old IL-10-/and wild-type mice (n = 4 per group) Small intestine Cecum Colon Feces WT IL-10-/WT IL-10-/WT IL-10-/WT IL-10-/Steroids Cholesterol 2.09 ± 1.20 2.16 ± 1.08 0.69 ± 0.29 1.63 ± 0.63* 0.64 ± 0.13 1.27 ± 0.30** 0.76 ± 0.07 1.15 ± 0.27* Coprostanol 0.01 ± 0.01 0.00 ± 0.00 0.07 ± 0.02 0.10 ± 0.09 0.09 ± 0.04 0.08 ± 0.10 0.11 ± 0.05 0.09 ± 0.11 CA 132.71 ± 32.88 90.06 ± 15.25 0.09 ± 0.01 0.20 ± 0.10 0.10 ± 0.03 0.31 ± 0.25 0.05 ± 0.01 0.10 ± 0.02*** DCA 0.24 ± 0.05 0.09 ± 0.02 0.27 ± 0.11 0.04 ± 0.03* 0.22 ± 0.07 0.06 ± 0.04* 0.11 ± 0.04 0.01 ± 0.01** 12-keto DCA 0.04 ± 0.00 0.03 ± 0.00 0.08 ± 0.02 0.03 ± 0.01* 0.08 ± 0.03 0.06 ± 0.03 0.11 ± 0.03 0.04 ± 0.01** α-MCA 21.44 ± 4.34 19.29 ± 6.50 0.07 ± 0.01 0.07 ± 0.02 0.10 ± 0.04 0.10 ± 0.05 0.04 ± 0.01 0.05 ± 0.01 ω-MCA 20.18 ± 3.47 23.50 ± 16.33 0.37 ± 0.07 0.27 ± 0.05 0.35 ± 0.12 0.33 ± 0.15 0.21 ± 0.05 0.13 ± 0.06 Results are presented in mg/g dry weight of intestinal contents (mean ± SD). "
"14","wild","Since it can be deduced from recent human studies that at least in the colon of the wild-type animals compared to the IL-10-/mice (Table 2). "
"15","wild","The Firmicutes in the wild-type mice were represented by 27 species affiliated within 8 different families. "
"16","wild","The relative proportion of Bacteroidetes sequences was 25% higher in the wild-type mice and both Porphyromonadaceae and Bacteroidaceae were detected. "
"17","wild","The only Proteobacteria detected were the Enterobacteriaceae which were exclusively represented by Escherichia coli contributing a high proportion of total sequences in the IL-10-/but not in the wildtype mice. "
"18","wild","Verrucomicrobia was a minor phylum in wild-type mice and not detected in IL-10-/mice. "
"19","wild","Total bacterial numbers were slightly but significantly higher in wild-type than in IL-10-/mice (Fig. "
"20","wild","Under aerobic conditions, 108 bacteria/g were detected for the IL-10-/mice and 107 bacteria/g for the wild-type mice. "
"21","wild","When the agar plates were incubated under anaerobic conditions, E. gallinarum and Lactobacillus murinus were the most frequently isolated bacteria from wild-type mice (35% and 25% of the isolates, respectively). "
"22","wild","In addition, different Clostridium, Eubacterium and Bacteroides species were isolated at low frequencies (5 to 10% of the isolates) indicating a high diversity of BA-resistant bacteria in the wild-type mice. "
"23","wild","Total neutral sterol concentrations (cholesterol + coprostanol) in the intestine of 24-weekold IL-10-/and wild-type mice (n = 4 per group). "
"24","wild","We did not observe differences in small intestinal neutral sterol concentrations between IL-10-/and wild-type mice suggesting that biliary cholesterol secretion was not affected in IL-10-/mice. "
"25","wild","If the higher neutral sterol concentrations in the intestine of the colitic animals were the cause or a consequence of an altered several hundred clones per individual study subject are needed to describe total microbiota diversity in the inflamed gut,17 we were not able with our approach to address the full complexity of the intestinal ecosystem in IL-10-/and wild-type mice. "
"26","wild","Bile acid concentrations in the intestine of 24-week-old IL-10-/and wild-type mice (n = 4 per group). "
"27","wild","(D) Microbial conversion of CA to DCA and 12-keto DCA (in %) in the intestine of 24-week-old IL-10-/and wild-type mice. "
"28","wild","One IL-10-/and one wild-type mouse each were excluded from sampling because of tumor formation in testis and liver, respectively. "
"29","wild","Interleukin-10 knock-out (IL-10-/-) mice (129(B6)-Il10tm1Cgn/J, n = 10) and the respective wild-type Table 2. "
"30","wild","Relative proportions of bacterial 16S rRNA gene sequences in colonic contents of 24-week-old IL-10-/and wild-type mice (150 sequences per group) Relative proportion of sequences Bacteria Wild-type mice IL-10-/mice Firmicutes 80 (53.3) 89 (59.3) Blautia 1 (0.7) 53 (35.3)*** Clostridiaceae 29 (19.3) 0 (0.0)*** Enterococcaceae 0 (0.0) 23 (15.3)*** Erysipelotrichacea 0 (0.0) 5 (3.3) Eubacteriaceae 6 (4.0) 0 (0.0)* Lachnospiraceae 30 (20.0) 7 (4.7)* Lactobacillaceae 1 (0.7) 1 (0.7) Ruminococcaceae 9 (6.0) 0 (0.0)** Veillonellaceae 2 (1.3) 0 (0.0) Oscillospiraceae 2 (1.3) 0 (0.0) Bacteroidetes 68 (45.3) 30 (20.0)*** Bacteroidaceae 13 (8.7) 0 (0.0)*** Porphyromonadaceae 55 (36.7) 30 (20.0)** Proteobacteria 1 (0.7) 31 (20.7)*** Enterobacteriaceae 1 (0.7) 31 (20.7)*** Verrucomicrobia 1 (0.7) 0 (0.0) Verrucomicrobiaceae 1 (0.7) 0 (0.0) Total number of OTUs (%) 150 (100.0) 150 (100.0) Significance of differences between both groups are indicated (*p ≤ 0.05, **p ≤ 0.01, ***p ≤ 0.001). "
